Star_Wars_movies,Production_costs,Global_box_office_revenue
Star_Wars:_The_Force_Awakens,245.0,2068.22
Star_Wars:_The_Last_Jedi,317.0,1332.54
Star_Wars:_Episode_IX_-_The_Rise_of_Skywalker,275.0,1074.14
Rogue_One:_A_Star_Wars_Story,200.0,1056.06
Star_Wars_Episode_I:_The_Phantom_Menace,115.0,1027.04
Star_Wars_Episode_III:_Revenge_of_the_Sith,113.0,848.75
Star_Wars_Episode_IV:_A_New_Hope,11.0,775.4
Star_Wars_Episode_II:_Attack_of_the_Clones,115.0,649.4
Star_Wars_Episode_V:_The_Empire_Strikes_Back,18.0,538.38
Star_Wars_Episode_VI:_Return_of_the_Jedi,32.5,475.11
Solo:_A_Star_Wars_Story,275.0,392.92
