Month,Change_in_traffic
Jul_1,-20.6
Jun_29,-26
Jun_27,-31.1
Jun_25,-24.9
Jun_22,-31.4
Jun_19,-32.2
Jun_16,-30.8
Jun_13,-37.8
Jun_10,-36.5
May_24,-63
May_21,-62
May_19,-64.6
May_16,-62.7
May_12,-67.1
May_10,-69.7
May_6,-69
May_3,-70.3
Apr_22,-72.2
Apr_20,-71.1
Apr_18,-79.4
Apr_16,-72.1
Apr_14,-76.3
Apr_12,-72.3
Apr_10,-68.7
Apr_8,-72.5
Apr_6,-68.3
Apr_5,-75.3
Apr_3,-72.9
Apr_1,-73.2
Mar_30,-70.9
Mar_28,-62.1
Mar_27,-21.4
Mar_26,-28
Mar_25,-22.4
Mar_23,-24.1
Mar_22,-28.2
Mar_21,-28.4
Mar_20,-19.3
Mar_19,-20.3
Mar_18,-11
Mar_17,-0.2
Mar_16,-0.8
Mar_15,-2.3
Mar_14,-1
Mar_13,-0.9
Mar_12,-8.2
Mar_11,-6.5
