Year,Number_of_confirmed_cases
5_Jan_21,1982544
4_Jan_21,1958844
31_Dec,1928265
30_Dec,1910218
29_Dec,1893502
28_Dec,1879413
24_Dec,1854951
23_Dec,1842289
22_Dec,1829903
21_Dec,1819249
18_Dec,1797236
17_Dec,1785421
16_Dec,1773290
15_Dec,1762212
14_Dec,1751884
11_Dec,1730575
10_Dec,1720056
9_Dec,1712101
7_Dec,1702328
4_Dec,1684647
3_Dec,1675902
2_Dec,1665775
1_Dec,1656444
30_Nov,1648187
27_Nov,1628208
26_Nov,1617355
25_Nov,1605066
24_Nov,1594844
23_Nov,1582616
20_Nov,1556730
19_Nov,1541574
18_Nov,1525341
17_Nov,1510023
16_Nov,1496864
13_Nov,1458591
12_Nov,1437220
11_Nov,1417709
10_Nov,1398613
9_Nov,1381218
6_Nov,1328832
5_Nov,1306316
4_Nov,1284408
3_Nov,1259366
2_Nov,1240697
30_Oct,1185678
29_Oct,1160083
28_Oct,1136503
27_Oct,1116738
26_Oct,1098320
23_Oct,1046132
22_Oct,1026281
21_Oct,1005295
20_Oct,988322
19_Oct,974449
16_Oct,936560
15_Oct,921374
14_Oct,908056
13_Oct,896086
12_Oct,888968
9_Oct,861112
8_Oct,848324
7_Oct,835901
6_Oct,825410
5_Oct,813412
2_Oct,789932
1_Oct,778607
30_Sep,769188
29_Sep,758172
28_Sep,748266
25_Sep,716481
24_Sep,704209
23_Sep,693556
22_Sep,682267
21_Sep,671468
18_Sep,640040
17_Sep,625651
16_Sep,614360
15_Sep,603167
14_Sep,593730
11_Sep,566326
10_Sep,554143
9_Sep,543379
8_Sep,534513
7_Sep,525549
4_Sep,498989
3_Sep,488513
2_Sep,479554
1_Sep,470973
31-Aug,462858
28-Aug,439286
27-Aug,429507
26-Aug,419849
25-Aug,412553
24-Aug,405436
21-Aug,386054
20-Aug,377906
19-Aug,370867
18-Aug,364196
17--Aug,359082
14-Aug,342813
13-Aug,337334
12-Aug,329784
11-Aug,326612
10-Aug,322980
7-Aug,314362
6-Aug,309855
5-Aug,305767
4-Aug,302814
3-Aug,297054
31-Jul,288522
30-Jul,285430
29-Jul,282641
28-Jul,280610
27-Jul,278782
24-Jul,271421
23-Jul,270166
22-Jul,267551
21-Jul,266194
20-Jul,264836
17-Jul,260255
16-Jul,258855
15-Jul,257494
14-Jul,256619
13-Jul,255953
10-Jul,253908
9-Jul,253056
8-Jul,252513
7-Jul,252130
6-Jul,251789
3-Jul,250545
2-Jul,250103
1-Jul,249659
30-Jun,249271
29-Jun,248970
28-Jun,248770
27-Jun,248469
26-Jun,247905
25_-Jun,247486
24_-Jun,247086
23-Jun,246752
22-Jun,246504
21-Jun,246272
20_-Jun,245938
19-Jun,245575
18-Jun,245268
17-Jun,244683
16_-Jun,244328
15-Jun,244109
14-Jun,243928
13-Jun,243605
12-Jun,243209
11-Jun,242707
10-Jun,242289
9-Jun,241966
8-Jun,241717
7_-Jun,241550
6-Jun,241310
5-Jun,240978
4-Jun,240660
3-Jun,240326
2-Jun,239932
1-Jun,239638
31-May,239429
30-May,239228
29-May,238564
28-May,237906
27-May,236769
26-May,236259
25-May,235400
24-May,235772
23-May,235290
22_-May,234824
21-May,233037
20-May,232555
19-May,232037
18-May,231606
17-May,231350
16-May,230698
15-May,230183
14-May,229540
13-May,228691
12-May,228030
11-May,227436
10-May,224390
9-May,223578
8-May,222857
7-May,221447
6-May,220325
5-May,219329
4-May,218011
3-May,217466
2-May,216582
1-May,215435
30-Apr,213435
29-Apr,212917
28-Apr,210773
27-Apr,209465
26-Apr,207634
25-Apr,223759
24-Apr,219764
23-Apr,213024
22-Apr,208389
21-Apr,204178
20-Apr,200210
19-Apr,195944
18-Apr,191726
17-Apr,188068
16-Apr,182816
15-Apr,177633
14-Apr,172541
13-Apr,169496
12-Apr,166019
11-Apr,161852
10-Apr,157022
9-Apr,152446
8-Apr,146690
7-Apr,140510
6-Apr,135032
5-Apr,130769
4-Apr,124736
3-Apr,117710
2-Apr,110238
1-Apr,102136
31-Mar,94417
30-Mar,85195
29-Mar,78797
28-Mar,72248
27-Mar,64059
26-Mar,56188
25-Mar,47610
24-Mar,39673
23-Mar,33089
22-Mar,28572
21-Mar,24926
20-Mar,19980
19-Mar,17147
18-Mar,13716
17-Mar,11178
16-Mar,9191
15-Mar,7753
14-Mar,5753
13-Mar,4231
12-Mar,2965
11-Mar,2140
10-Mar,1634
9-Mar,1204
6-Mar,365
5-Mar,237
4-Mar,197
3-Mar,114
28-Feb,31
27-Feb,16
26-Feb,7
25-Feb,3
12-Feb,2
