Month,Number_of_cars_sold
Jan_'20,31163
Dec_'19,224
Nov_'19,741
Oct_'19,2164
Sep_'19,3415
Aug_'19,5087
Jul_'19,24681
Jun_'19,1408
May_'19,6320
Apr_'19,8904
Mar_'19,16687
Feb_'19,15069
Jan_'19,32370
Dec_'18,142
Nov_'18,645
Oct_'18,1689
Sep_'18,3192
Aug_'18,5921
Jul_'18,26958
Jun_'18,1251
May_'18,6056
Apr_'18,8053
Mar_'18,17728
Feb_'18,17012
Jan_'18,37034
Dec_'17,159
Nov_'17,682
Oct_'17,1943
Sep_'17,3897
Aug_'17,5730
Jul_'17,27706
Jun_'17,1400
May_'17,5992
Apr_'17,7841
Mar_'17,19890
Feb_'17,17089
Jan_'17,39003
