Metropolitan_area,Violent_crime_severity_index
Winnipeg_Manitoba,173.96
Thunder_Bay_Ontario,145.91
Saskatoon_Saskatchewan,134.73
Regina_Saskatchewan,132.63
Edmonton_Alberta,109.08
Moncton_New_Brunswick,106.66
Brantford_Ontario,100.96
Greater_Sudbury_Ontario,94.45
Kitchener-Cambridge-Waterloo_Ontario,87.71
Calgary_Alberta,84.5
Halifax_Nova_Scotia,83.76
Kelowna_British_Columbia,82.19
St._John's_Newfoundland_and_Labrador,82.18
Vancouver_British_Columbia,80.25
Toronto_Ontario,78.06
Abbotsford-Mission_British_Columbia,77.46
Montréal_Quebec,76.07
Hamilton_Ontario,74.04
Saint_John_New_Brunswick,73.76
Ottawa-Gatineau_Quebec_part,71.15
Ottawa-Gatineau_Ontario/Quebec,69.39
Ottawa-Gatineau_Ontario_part,68.84
Windsor_Ontario,67.65
Kingston_Ontario,66.88
Peterborough_Ontario,65.67
Victoria_British_Columbia,65.16
Saguenay_Quebec,64.49
Trois-Rivières_Quebec,64.17
London_Ontario,63.86
Barrie_Ontario,62.08
Québec_Quebec,57.25
St.Catharines-Niagara_Ontario,56.75
Sherbrooke_Quebec,56.32
Guelph_Ontario,52.09
