Month,Number_of_new_cases
Dec_15,736
Dec_14,3879
Dec_13,6873
Dec_12,8563
Dec_11,9658
Dec_10,9397
Dec_9,8614
Dec_8,7488
Dec_7,6667
Dec_6,6134
Dec_5,6552
Dec_4,7029
Dec_3,6278
Dec_2,6007
Dec_1,5451
Nov_30,4329
Nov_29,3913
Nov_28,4812
nov_27,4547
Nov_26,5624
Nov_25,4913
Nov_24,5109
Nov_23,4096
Nov_22,4136
Nov_21,5132
Nov_20,5649
Nov_19,6054
Nov_18,6135
Nov_17,4738
Nov_16,4702
Nov_15,3907
Nov_14,4819
Nov_13,5494
Nov_12,6107
Nov_11,6107
Nov_10,5728
Nov_9,4780
Nov_8,4402
Nov_7,5165
Nov_6,6052
Nov_5,6691
Nov_4,7147
Nov_3,7854
Nov_2,6861
Nov_1,7445
Oct_31,7694
Oct_30,8805
Oct_29,10326
Oct_28,9335
Oct_27,9044
Oct_26,10263
Oct_25,9364
Oct_24,11083
Oct_23,9268
Oct_22,8738
Oct_21,8149
Oct_20,7720
Oct_19,8439
Oct_18,8105
Oct_17,7978
Oct_16,7779
Oct_15,7271
Oct_14,7368
Oct_13,6844
Oct_12,6368
Oct_11,6493
Oct_10,5959
Oct_9,5813
Oct_8,4979
Oct_7,4517
Oct_6,4572
Oct_5,4000
Oct_4,3963
Oct_3,3820
Oct_2,3253
Oct_1,3293
Sep_30,3001
Sep_29,2909
Sep_28,2989
Sep_27,2711
Sep_26,2776
Sep_25,2541
Sep_24,2351
Sep_23,2243
Sep_22,2215
Sep_21,1843
Sep_20,1882
Sep_19,1972
Sep_18,1750
Sep_17,1540
Sep_16,1376
Sep_15,1298
Sep_14,1086
Sep_13,1231
Sep_12,1268
Sep_11,823
Sep_10,1140
Sep_9,963
Sep_8,797
Sep_7,925
Sep_6,654
Sep_5,744
Sep_4,421
Sep_3,914
Sep_2,461
Sep_1,525
Aug_31,508
Aug_30,500
Aug_29,507
Aug_28,510
Aug_27,570
Aug_26,414
Aug_25,572
Aug_24,456
Aug_23,508
Aug_22,534
Aug_21,529
Aug_20,552
Aug_19,568
Aug_18,563
Aug_17,431
Aug_16,436
Aug_15,544
Aug_14,590
Aug_13,686
Aug_12,601
Aug_11,680
Aug_10,525
Aug_9,568
Aug_8,623
Aug_7,559
Aug_6,538
Aug_5,671
Aug_4,488
Aug_3,472
Aug_2,335
Aug_1,365
Jul_31,342
Jul_30,247
Jul_29,223
Jul_28,205
Jul_27,214
Jul_26,137
Jul_25,191
Jul_24,163
Jul_23,168
Jul_22,163
Jul_21,240
Jul_20,144
Jul_19,127
Jul_18,103
Jul_17,99
Jul_16,106
Jul_15,53
Jul_14,90
Jul_13,101
Jul_12,81
Jul_11,42
Jul_10,52
Jul_9,61
Jul_8,56
Jul_7,49
Jul_6,30
Jul_5,43
Jul_4,79
Jul_3,59
Jul_2,75
Jul_1,74
Jun_30,49
Jun_29,68
Jun_28,74
Jun_27,71
Jun_26,96
Jun_25,111
Jun_24,83
Jun_23,70
Jun_22,69
Jun_21,98
Jun_20,91
Jun_19,116
Jun_18,132
Jun_17,119
Jun_16,140
Jun_15,165
Jun_14,143
Jun_13,179
Jun_12,210
Jun_11,164
Jun_10,184
Jun_9,164
Jun_8,165
Jun_7,239
Jun_6,183
Jun_5,210
Jun_4,209
Jun_3,86
Jun_2,102
Jun_1,103
May_31,185
May_30,131
May_29,176
May_28,182
May_27,190
May_26,133
May_25,209
May_24,172
May_23,176
May_22,188
May_21,253
May_20,198
May_19,108
May_18,146
May_17,125
May_16,189
May_15,200
May_14,270
May_13,227
May_12,196
May_11,161
May_10,245
May_9,289
May_8,319
May_7,455
May_6,232
May_5,317
May_4,199
May_3,335
May_2,445
May_1,475
Apr_30,514
Apr_29,386
Apr_28,171
Apr_27,400
Apr_26,655
Apr_25,655
Apr_24,806
Apr_23,887
Apr_22,708
Apr_21,729
Apr_20,750
Apr_19,1066
Apr_18,1140
Apr_17,1235
Apr_16,1061
Apr_15,734
Apr_14,868
Apr_13,964
Apr_12,1174
Apr_11,1316
Apr_10,1335
Apr_9,1213
Apr_8,969
Apr_7,777
Apr_6,952
Apr_5,1224
Apr_4,904
Apr_3,1026
Apr_2,1083
Apr_1,1019
Mar_31,845
Mar_30,884
Mar_29,1104
Mar_28,1159
Mar_27,1172
Mar_26,1019
Mar_25,852
Mar_24,811
Mar_23,545
Mar_22,573
Mar_21,637
Mar_20,534
Mar_19,409
Mar_18,346
Mar_17,292
Mar_16,278
Mar_15,176
Mar_14,155
Mar_13,190
Mar_12,111
Mar_11,121
Mar_10,56
Mar_9,61
Mar_8,77
Mar_7,60
Mar_6,46
Mar_5,44
Mar_3,15
Mar_2,14
Mar_1,3
Feb_29,5
Feb_28,1
Feb_27,1
