Quarter,Savings_ratio
Q1_2020,13.7
Q4_2019,16.7
Q3_2019,10.6
Q2_2019,26.2
Q1_2019,10.5
Q4_2018,16.5
Q3_2018,10
Q2_2018,25.2
Q1_2018,8.6
Q4_2017,15.6
Q3_2017,8.3
Q2_2017,25
Q1_2017,9.9
Q4_2016,16.1
Q3_2016,10.8
Q2_2016,26.5
Q1_2016,10.6
Q4_2015,15
Q3_2015,10.6
Q2_2015,25.7
Q1_2015,10.4
Q4_2014,15.3
Q3_2014,10.1
Q2_2014,26.4
Q1_2014,11.2
Q4_2013,14.6
Q3_2013,9.5
Q2_2013,25.4
Q1_2013,9.5
Q4_2012,13.6
Q3_2012,9.6
Q2_2012,25.4
Q1_2012,9.6
Q4_2011,11.5
Q3_2011,7.3
Q2_2011,25.7
Q1_2011,7.6
Q4_2010,10
Q3_2010,9.1
Q2_2010,23.6
Q1_2010,8.6
