Football_player,Games_played
Iker_Casillas,177
Cristiano_Ronaldo,169
Xavi_Hernández,151
Raúl_González,142
Ryan_Giggs,141
Lionel_Messi,141
Andrés_Iniesta,130
Clarence_Seedorf,125
Sergio_Ramos,124
Paul_Scholes,124
Gianluigi_Buffon,123
Roberto_Carlos,120
Xabi_Alonso,119
Karim_Benzema,119
Zlatan_Ibrahimović,119
Carles_Puyol,115
Gerard_Piqué,114
Sergio_Busquets,112
Thierry_Henry,112
Philipp_Lahm,112
Dani_Alves,111
Petr_Čech,111
Thomas_Müller,111
Arjen_Robben,110
Paolo_Maldini,109
Gary_Neville,109
John_Terry,109
