Month,Number_of_hospitalizations
Dec_14,59
Dec_13,126
Dec_12,133
Dec_11,206
Dec_10,160
Dec_9,160
Dec_8,154
Dec_7,198
Dec_6,125
Dec_5,132
Dec_4,180
Dec_3,178
Dec_2,139
Dec_1,133
Nov_30,156
Nov_29,103
Nov_28,94
Nov_27,162
Nov_26,174
Nov_25,149
Nov_24,133
Nov_23,188
Nov_22,152
Nov_21,128
Nov_20,154
Nov_19,175
Nov_18,179
Nov_17,183
Nov_16,235
Nov_15,138
Nov_14,136
Nov_13,225
Nov_12,195
Nov_11,216
Nov_10,220
Nov_9,265
Nov_8,158
Nov_7,145
Nov_6,222
Nov_5,226
Nov_4,235
Nov_3,230
Nov_2,366
Nov_1,213
Oct_31,195
Oct_30,269
Oct_29,255
Oct_28,264
Oct_27,262
Oct_26,319
Oct_25,222
Oct_24,192
Oct_23,303
Oct_22,265
Oct_21,267
Oct_20,240
Oct_19,281
Oct_18,180
Oct_17,210
Oct_16,223
Oct_15,212
Oct_14,202
Oct_13,244
Oct_12,235
Oct_11,156
Oct_10,144
Oct_9,206
Oct_8,155
Oct_7,145
Oct_6,155
Oct_5,163
Oct_4,102
Oct_3,135
Oct_2,120
Oct_1,104
Sep_30,108
Sep_29,99
Sep_28,108
Sep_27,76
Sep_26,19
Sep_25,89
Sep_24,101
Sep_23,91
Sep_22,69
Sep_21,80
Sep_20,46
Sep_19,54
Sep_18,68
Sep_17,51
Sep_16,44
Sep_15,38
Sep_14,49
Sep_13,24
Sep_12,19
Sep_11,42
Sep_10,18
Sep_9,32
Sep_8,20
Sep_7,27
Sep_6,22
Sep_5,16
Sep_4,13
Sep_3,16
Sep_2,9
Sep_1,2
Aug_31,9
Aug_30,6
Aug_29,2
Aug_28,6
Aug_27,3
Aug_26,5
Aug_25,10
Aug_24,7
Aug_23,1
Aug_22,9
Aug_21,8
Aug_20,7
Aug_19,2
Aug_18,6
Aug_17,11
Aug_16,10
Aug_15,8
Aug_14,10
Aug_13,9
Aug_12,11
Aug_11,8
Aug_10,0
Aug_9,5
Aug_8,2
Aug_7,6
Aug_6,2
Aug_5,1
Aug_4,2
Aug_3,7
Aug_2,3
Aug_1,4
Jul_31,9
Jul_30,12
Jul_29,4
Jul_28,6
Jul_27,3
Jul_26,1
Jul_25,5
Jul_24,3
Jul_23,5
Jul_22,3
Jul_21,1
Jul_20,2
Jul_19,4
Jul_18,2
Jul_17,3
Jul_16,0
Jul_15,1
Jul_14,1
Jul_13,4
Jul_12,1
Jul_11,0
Jul_10,1
Jul_9,2
Jul_8,1
Jul_7,2
Jul_6,0
Jul_5,1
Jul_4,0
Jul_3,0
Jul_2,0
Jul_1,1
Jun_30,1
Jun_29,0
Jun_28,1
Jun_27,2
Jun_26,0
Jun_25,3
Jun_24,2
Jun_23,2
Jun_22,4
Jun_21,2
Jun_20,3
Jun_19,11
Jun_18,3
Jun_17,4
Jun_16,4
Jun_15,3
Jun_14,5
Jun_13,9
Jun_12,6
Jun_11,3
Jun_10,4
Jun_9,4
Jun_8,3
Jun_7,4
Jun_6,3
Jun_5,11
Jun_4,12
Jun_3,9
Jun_2,6
Jun_1,9
May_31,8
May_30,5
May_29,9
May_28,16
May_27,7
May_26,10
May_25,8
May_24,13
May_23,10
May_22,9
May_21,13
May_20,14
May_19,34
May_18,27
May_17,15
May_16,45
May_15,35
May_14,27
May_13,52
May_12,35
May_11,36
May_10,22
May_9,58
May_8,35
May_7,39
May_6,27
May_5,89
May_4,42
May_3,44
May_2,97
May_1,85
Apr_30,84
Apr_29,76
Apr_28,88
Apr_27,65
Apr_26,75
Apr_25,100
Apr_24,123
Apr_23,137
Apr_22,124
Apr_21,118
Apr_20,75
Apr_19,110
Apr_18,129
Apr_17,156
Apr_16,182
Apr_15,188
Apr_14,210
Apr_13,147
Apr_12,196
Apr_11,189
Apr_10,225
Apr_9,237
Apr_8,308
Apr_7,292
Apr_6,260
Apr_5,253
Apr_4,336
Apr_3,502
Apr_2,625
Apr_1,447
Mar_31,722
Mar_30,507
Mar_29,529
Mar_28,454
Mar_27,349
Mar_26,315
Mar_25,341
