state_of_Mexico,Number_of_inhabitants_in_thousands
State_of_Mexico,17666.8
Mexico_City,8781.3
Veracruz,8236.7
Jalisco,8222.7
Puebla,6388.1
Guanajuato,5965.0
Chiapas,5463.3
Nuevo_León,5321.3
Michoacán,4695.3
Oaxaca,4091.4
Chihuahua,3826.9
Tamaulipas,3672.3
Baja_California,3648.1
Guerrero,3629.0
Coahuila,3073.5
Sinaloa,3066.4
Sonora,3062.0
Hidalgo,2990.3
San_Luis_Potosí,2831.9
Tabasco,2460.9
Yucatán,2207.2
Querétaro,2100.0
Morelos,1994.1
Durango,1820.7
Quintana_Roo,1722.6
Zacatecas,1615.0
Aguascalientes,1342.6
Tlaxcala,1334.8
Nayarit,1296.9
Campeche,952.3
Baja_California_Sur,839.7
Colima,763.3
