Response,Share_of_respondents
High_delivery_costs,58.2
Language_problems,21.7
Customs_clearance,42.9
Non-transparent_costs,41.2
Uncertainty_with_problems,29.7
No_demand_because_all_products_are_obtainable_locally,17.5
Long_delivery_times,56.1
Unknown_product_quality,33
Complicated_return_process,44.9
Concerns_regarding_data_protection,22.7
Fear_of_fraud,43.5
Uncertain_delivery,33.1
Concern_about_misuse_of_payment_data,32.6
Uncertainty_regarding_warranty_terms_payment_process_legal_situation_etc.,43.3
