Month,Cumulative_number_of_hospitalizations
Dec_15,18618
Dec_8,18118
Dec_1,17677
Nov_24,17209
Nov_17,16668
Nov_10,16064
Nov_3,15434
Oct_27,14739
Oct_20,14029
Oct_13,13470
Oct_6,13020
Sep_29,12710
Sep_22,12597
Sep_15,12416
Sep_8,12301
Sep_1,12238
Aug_25,12199
Aug_18,12152
Aug_11,11980
Aug_4,11964
Jul_28,11923
Jul_21,11902
Jul_14,11892
Jul_7,11886
Jun_30,11877
Jun_23,11852
Jun_16,11828
Jun_9,11793
Jun_2,11750
May_26,11690
May_19,11613
May_12,11378
May_5,11126
Apr_28,10609
Apr_21,9897
Apr_14,8939
Apr_7,7427
Mar_31,4712
Mar_24,1495
Mar_17,314
Mar_12,86
