Response,Percentage_of_respondents
Robot_and/or_its_contents_could_be_stolen,27
Might_lead_to_less_jobs_for_people,21
Robot_might_malfunction_&_injure_someone,8
Other,7
Robot_and/or_contents_might_be_damaged_by_others,7
Robot_might_malfunction_&_damage_items_being_delivered,6
Might_not_be_able_to_interact_with_a_delivery_person_when_needed,5
Robot_might_navigate_to_the_wrong_address,5
Robot_might_malfunction_&_damage_property,4
Use_might_lead_to_too_much_traffic_on_sidewalks,4
Interacting_with_the_robot_might_be_too_complicated_or_confusing,3
Might_be_used_in_a_way_that_does_not_respect_my_privacy,3
