Month,Number_of_cases
Mar_3_2020,7
Mar_4_2020,14
Mar_5_2020,5
Mar_6_2020,28
Mar_7_2020,10
Mar_8_2020,6
Mar_9_2020,18
Mar_10_2020,12
Mar_11_2020,20
Mar_12_2020,9
Mar_13_2020,39
Mar_14_2020,41
Mar_15_2020,190
Mar_16_2020,125
Mar_17_2020,120
Mar_18_2020,117
Mar_19_2020,110
Mar_20_2020,130
Mar_21_2020,153
Mar_22_2020,123
Mar_23_2020,212
Mar_24_2020,106
Mar_25_2020,172
Mar_26_2020,235
Mar_27_2020,130
Mar_28_2020,159
Mar_29_2020,150
Mar_30_2020,156
Mar_31_2020,140
Apr_1_2020,142
Apr_2_2020,208
Apr_3_2020,217
Apr_4_2020,150
Apr_5_2002,179
Apr_6_2020,131
Apr_7_2020,170
Apr_8_2020,156
Apr_9_2020,109
Apr_10_2020,118
Apr_11_2020,184
Apr_12_2020,153
Apr_13_2020,134
Apr_14_2020,170
Apr_15_2020,85
Apr_16_2020,110
Apr_17_2020,69
Apr_18_2020,54
Apr_19_2020,84
Apr_20_2020,36
Apr_21_2020,57
Apr_22_2020,50
Apr_23_2020,71
Apr_24_2020,88
Apr_25_2020,51
Apr_26_2020,38
Apr_27_2020,40
Apr_28_2020,31
Apr_29_2020,94
Apr_30_2020,57
May_1_2020,69
May_2_2020,105
May_3_2020,122
May_4_2020,55
May_5_2020,30
May_6_2020,45
May_7_2020,39
May_8_2020,68
May_9_2020,54
May_10_2020,67
May_11_2020,70
May_12_2020,16
May_13_2020,37
May_14_2020,40
May_15_2020,36
May_16_2020,17
May_17_2020,22
May_18_2020,47
May_19_2020,37
May_20_2020,31
May_21_2020,50
May_22_2020,73
May_23_2020,48
May_24_2020,60
May_25_2020,172
May_26_2020,187
May_27_2020,15
May_28_2020,10
May_29_2020,103
May_30_2020,30
May_31_2020,57
Jun_1_2020,38
Jun_2_2020,20
Jun_3_2020,93
Jun_4_2020,277
Jun_5_2020,19
Jun_6_2020,37
Jun_7_2020,19
Jun_8_2020,7
Jun_9_2020,7
Jun_10_2020,2
Jun_11_2020,31
Jun_12_2020,33
Jun_13_2020,43
Jun_14_2020,8
Jun_15_2020,41
Jun_16_2020,11
Jun_17_2020,10
Jun_18_2020,14
Jun_19_2020,6
Jun_20_2020,21
Jun_21_2020,16
Jun_22_2020,15
Jun_23_2020,3
Jun_24_2020,6
