bank,Total_assets_in_trillion_U.S._dollars
Industrial_&_Commercial_Bank_of_China_Limited_(China),4.32
China_Construction_Bank_Corporation_(China),3.65
Agricultural_Bank_of_China_Limited_(China),3.57
Bank_of_China_Limited_(China),3.27
BNP_Paribas_SA_(France),2.43
China_Development_Bank_(China),2.35
JPMorgan_Chase_Bank_National_Association_(U.S.),2.34
MUFG_Bank_(Japan),2.22
Credit_Agricole_SA_(France),1.98
Japan_Post_Bank_Co_Ltd_(Japan),1.95
Bank_of_America_National_Association_(U.S.),1.85
Sumitomo_Mitsui_Financial_Group_(Japan),1.72
Wells_Fargo_Bank_National_Association_(U.S.),1.71
Banco_Santander_SA_(Spain),1.71
Muzuho_Bank_Ltd_(Japan),1.55
