film,Box_office_gross_in_million_U.S._dollars
Captain_America:_Civil_War,1153.3
Rogue_One:_A_Star_Wars_Story,1056.1
Finding_Dory,1028.6
Zootopia,1023.8
The_Jungle_Book_(2016),966.6
The_Secret_Life_of_Pets,875.5
Batman_v_Superman:_Dawn_of_Justice,873.3
Fantastic_Beasts_and_Where_To_Find_Them,814.0
Deadpool,783.1
Suicide_Squad,745.6
Doctor_Strange,677.7
Moana,642.9
Sing,632.4
The_Mermaid_(Mei_ren_yu),553.8
X-Men:_Apocalypse,543.9
Kung_Fu_Panda_3,521.2
La_La_Land,445.2
Warcraft,433.7
Jason_Bourne,415.5
Ice_Age:_Collision_Course,408.6
