Week_starting_date,Expenditure_in_million_U.S._dollars
Nov_5_2012,1.35
Oct_29_2012,97.8
Oct_22_2012,76.5
Oct_15_2012,53.4
Oct_8_2012,34.3
Oct_1_2012,33.0
Sep_24_2012,17.3
Sep_17_2012,29.0
Sep_10_2012,10.03
Sep_03_2012,8.8
Aug_27_2012,3.29
Aug_20_2012,15.7
Aug_13_2012,13.47
Aug_6_2012,4.31
Jul_30_2012,14.16
Jul_23_2012,11.0
Jul_16_2012,4.54
Jul_9_2012,3.31
Jul_2_2012,0.85
Jun_25_2012,6.31
Jun_18_2012,8.93
Jun_11_2012,1.39
Jun_4_2012,4.33
May_28_2012,1.57
May_21_2012,2.07
May_14_2012,8.15
May_7_2012,5.15
Apr_30_2012,4.14
Apr_23_2012,3.24
Apr_16_2012,1.28
Apr_9_2012,2.88
Apr_2_2012,0.76
Mar_26_2012,3.66
Mar_19_2012,1.83
Mar_12_2012,3.68
Mar_05_2012,4.54
Feb_27_2012,11.2
Feb_20_2012,7.61
Feb_13_2012,4.54
Feb_06_2012,0.4
Jan_30_2012,1.23
Jan_23_2012,12.2
Jan_16_2012,4.84
Jan_09_2012,10.7
Jan_02_2012,1.91
Dec_26_2011,4.14
Dec_19_2011,1.66
Dec_12_2011,2.71
