Quarter,Number_of_licensed_vehicles
Q3_2019,228286
Q2_2019,209708
Q1_2019,198837
Q4_2018,185866
Q3_2018,172048
Q2_2018,157887
Q1_2018,145213
Q4_2017,132221
Q3_2017,120796
Q2_2017,107587
Q1_2017,97567
Q4_2016,85183
Q3_2016,76950
Q2_2016,66891
Q1_2016,58355
Q4_2015,47629
Q3_2015,41209
Q2_2015,35250
Q1_2015,29830
Q4_2014,21975
Q3_2014,16874
Q2_2014,12176
Q1_2014,9980
Q4_2013,8300
Q3_2013,7357
Q2_2013,6387
Q1_2013,5536
Q4_2012,4951
Q3_2012,4223
Q2_2012,3564
Q1_2012,2961
Q4_2011,2649
Q3_2011,2526
Q2_2011,2206
Q1_2011,1881
Q4_2010,1568
Q3_2010,1495
Q2_2010,1476
Q1_2010,1481
