Month,Number_of_cases
Dec_16_2020,357466
Dec_15_2020,348651
Dec_14_2020,341639
Dec_13_2020,338097
Dec_12_2020,335039
Dec_11_2020,328497
Dec_10_2020,320774
Dec_9_2020,314069
Dec_8_2020,305672
Dec_7_2020,298222
Dec_6_2020,294442
Dec_5_2020,292639
Dec_4_2020,287753
Dec_3_2020,280410
Dec_2_2020,273419
Dec_1_2020,266872
Nov_30_2020,261070
Nov_29_2020,257594
Nov_28_2020,254842
Nov_27_2020,251017
Nov_26_2020,244553
Nov_25_2020,237647
Nov_24_2020,231599
Nov_23_2020,225925
Nov_22_2020,222047
Nov_21_2020,219639
Nov_20_2020,215142
Nov_19_2020,209677
Nov_18_2020,202046
Nov_17_2020,197083
Nov_16_2020,192439
Nov_15_2020,190261
Nov_14_2020,188678
Nov_13_2020,185161
Nov_12_2020,178418
Nov_11_2020,172783
Nov_10_2020,167026
Nov_9_2020,162511
Nov_8_2020,158770
Nov_7_2020,156654
Nov_6_2020,152194
Nov_5_2020,147769
Nov_4_2020,143003
Nov_3_2020,138505
Nov_2_2020,134896
Nov_1_2020,133326
Oct_31_2020,132028
Oct_30_2020,129045
Oct_29_2020,124988
Oct_28_2020,121726
Oct_27_2020,118336
Oct_26_2020,115925
Oct_25_2020,114855
Oct_24_2020,114340
Oct_23_2020,112862
Oct_22_2020,110993
Oct_21_2020,109326
Oct_20_2020,107755
Oct_19_2020,106464
Oct_18_2020,105694
Oct_17_2020,105373
Oct_16_2020,104676
Oct_15_2020,103496
Oct_14_2020,102594
Oct_13_2020,101626
Oct_12_2020,100710
Oct_11_2020,100073
Oct_10_2020,99912
Oct_9_2020,99403
Oct_8_2020,98620
Oct_7_2020,97786
Oct_6_2020,96955
Oct_5_2020,96169
Oct_4_2020,95795
Oct_3_2020,95640
Oct_2_2020,95179
Oct_1_2020,94467
Sep_30_2020,93834
Sep_29_2020,93146
Sep_28_2020,92533
Sep_27_2020,92155
Sep_26_2020,91988
Sep_25_2020,91663
Sep_24_2020,91034
Sep_23_2020,90494
Sep_22_2020,89941
Sep_21_2020,89503
Sep_20_2020,89237
Sep_19_2020,89104
Sep_18_2020,88825
Sep_17_2020,88388
Sep_16_2020,87999
Sep_15_2020,87669
Sep_14_2020,87377
Sep_13_2020,87157
Sep_12_2020,87051
Sep_11_2020,86845
Sep_10_2020,86554
Sep_9_2020,86299
Sep_8_2020,85985
Sep_7_2020,85749
Sep_6_2020,85564
Sep_5_2020,85497
Sep_4_2020,85326
Sep_3_2020,85064
Sep_2_2020,84778
Sep_1_2020,84565
Aug_31_2020,84394
Aug_30_2020,84232
Aug_29_3030,84184
Aug_28_2020,84053
Aug_27_2020,83874
Aug_26_2020,83672
Aug_25_2020,83428
Aug_24_2020,83206
Aug_23_2020,83032
Aug_22_2020,82975
Aug_21_2020,82815
Aug_20_2020,82517
Aug_19_2020,82184
Aug_18_2020,81833
Aug_17_2020,81519
Aug_16_2020,81345
Aug_15_2020,81282
Aug_14_2020,81056
Aug_13_2020,80712
Aug_12_2020,80349
Aug_11_2020,79906
Aug_10_2020,79489
Aug_9_2020,79293
Aug_8_2020,79220
Aug_7_2020,78960
Aug_6_2020,78580
Aug_5_2020,78202
Aug_4_2020,77777
Aug_3_2020,77444
Aug_2_2020,77279
Aug_1_2020,77241
Jul_31_2020,76938
Jul_30_2020,76680
Jul_29_2020,76378
Jul_28_2020,76077
Jul_27_2020,75794
Jul_26_2020,75723
Jul_25_2020,75681
Jul_24_2020,75543
Jul_23_2020,75281
Jul_22_2020,75061
Jul_21_2020,74764
Jul_20_2020,74538
Jul_19_2020,74407
Jul_18_2020,74297
Jul_17_2020,74106
Jul_16_2020,73822
Jul_15_2020,73554
Jul_14_2020,73267
Jul_13_2020,72955
Jul_12_2020,72785
Jul_11_2020,72679
Jul_10_2020,72371
Jul_09_2020,72002
Jul_08_2020,71668
Jul_07_2020,71135
Jul_06_2020,70857
Jul_05_2020,70606
Jul_04_2020,70291
Jul_03_2020,69927
Jul_02_2020,69233
Jul_01_2020,68546
Jun_30_2020,67862
Jun_29_2020,67058
Jun_28_2020,66331
Jun_27_2020,65916
Jun_26_2020,65161
Jun_25_2020,63957
Jun_24_2020,62678
Jun_23_2020,60980
Jun_22_2020,59671
Jun_21_2020,58871
Jun_20_2020,58550
Jun_19_2020,57852
Jun_18_2020,56643
Jun_17_2020,55149
Jun_16_2020,53692
Jun_15_2020,52483
