Quarter,Advertising_revenue,Transactions_revenue,Brand_revenue,Other_services_revenue
Q1_'14,67.3,1.3,7.5,0.4
Q2_'14,78.0,1.2,9.1,0.5
Q3_'14,91.2,1.3,9.3,0.6
Q4_'14,99.1,1.4,8.7,0.8
Q1_'15,104.3,6.6,6.6,0.9
Q2_'15,113.5,11.3,8.3,0.8
Q3_'15,121.9,12.0,9,0.7
Q4_'15,131.7,14.0,7.1,1.0
Q1_'16,143.0,14.5,0,1.1
Q2_'16,156.7,15.5,0,1.2
Q3_'16,169.0,15.9,0,1.4
Q4_'16,176.5,16.6,0,1.7
Q1_'17,177.9,18.07,0,2.21
Q2_'17,187.68,18.43,0,3.8
Q3_'17,200.5,18.52,0,4.26
Q4_'17,209.59,5.23,0,4.62
Q1_'18,214.04,3.84,0,5.19
Q2_'18,226.17,3.52,0,5.18
Q3_'18,232.5,3.04,0,4.26
Q4_'18,234.77,3.29,0,5.67
Q1_'19,277.03,3.31,0,5.6
Q2_'19,237.84,3.15,0,5.97
Q3_'19,253.1,3.07,0,6.3
Q4_'19,258.95,2.91,0,6.96
Q1_'20,240.1,2.64,0,7.17
Q2_'20,162.23,3.97,0,2.83
Q3_'20,211.17,4.41,0,5.23
