Month,Number_of_patients_under_ventilator
Dec_20,313
Dec_19,315
Dec_18,336
Dec_17,357
Dec_16,376
Dec_15,387
Dec_14,393
Dec_13,396
Dec_12,407
Dec_11,413
Dec_10,412
Dec_9,444
Dec_8,448
Dec_7,474
Dec_6,480
Dec_5,495
Dec_4,516
Dec_3,507
Dec_2,535
Dec_1,555
Nov_30,566
Nov_29,582
Nov_28,597
Nov_27,638
Nov_26,671
Nov_25,709
Nov_24,720
Nov_23,775
Nov_22,760
Nov_21,799
Nov_20,815
Nov_19,837
Nov_18,887
Nov_17,885
Nov_16,895
Nov_15,900
Nov_14,876
Nov_13,903
Nov_12,907
Nov_11,898
Nov_10,885
Nov_9,881
Nov_8,888
Nov_7,879
Nov_6,826
Nov_5,814
Nov_4,792
Nov_3,751
Nov_2,697
Nov_1,671
Oct_31,633
Oct_30,599
Oct_29,557
Oct_28,541
Oct_27,484
Oct_26,444
Oct_25,383
Oct_24,371
Oct_23,328
Oct_22,289
Oct_21,272
Oct_20,248
Oct_19,209
Oct_18,195
Oct_17,184
Oct_16,172
Oct_15,167
Oct_14,160
Oct_13,142
Oct_12,126
Oct_11,109
Oct_10,98
Oct_9,97
Oct_8,96
Oct_7,94
Oct_6,85
Oct_5,83
Oct_4,77
Oct_3,79
Oct_2,72
Oct_1,71
Sep_30,75
Sep_29,73
Sep_28,71
Sep_27,63
Sep_26,60
Sep_25,55
Sep_24,57
Sep_23,52
Sep_22,48
Sep_21,46
Sep_20,40
Sep_19,44
Sep_18,44
Sep_17,39
Sep_16,39
Sep_15,34
Sep_14,35
Sep_13,33
Sep_12,30
Sep_11,32
Sep_10,28
Sep_9,33
Sep_8,35
Sep_7,34
Sep_6,36
Sep_5,38
Sep_4,37
Sep_3,37
Sep_2,39
Sep_1,38
Aug_31,37
Aug_30,39
Aug_29,42
Aug_28,44
Aug_27,42
Aug_26,40
Aug_25,45
Aug_24,45
Aug_23,44
Aug_22,47
Aug_21,47
Aug_20,50
Aug_19,48
Aug18,48
Aug_17,45
Aug_16,48
Aug_15,43
Aug_14,45
Aug_13,42
Aug_12,40
Aug_11,38
Aug_10,42
Aug_9,34
Aug_8,34
Aug_7,37
Aug_6,32
Aug_5,29
Aug_4,30
Aug_3,32
Aug_2,31
Aug_1,29
Jul_31,27
Jul_30,23
Jul_29,24
Jul_28,22
Jul_27,22
Jul_26,22
Jul_25,20
Jul_24,19
Jul_23,15
Jul_22,18
Jul_21,15
Jul_20,17
Jul_19,15
Jul_18,19
Jul_17,18
Jul_16,17
Jul_15,17
Jul_14,17
Jul_13,14
Jul_12,12
Jul_11,15
Jul_10,15
Jul_9,16
Jul_8,15
Jul_7,15
Jul_6,15
Jul_5,15
Jul_4,14
Jul_3,13
Jul_2,13
Jul_1,14
Jun_30,18
Jun_29,18
Jun_28,17
Jun_27,16
Jun_26,18
Jun_25,20
Jun_24,21
Jun_23,24
Jun_22,20
Jun_21,25
Jun_20,28
Jun_19,27
Jun_18,27
Jun_17,26
Jun_16,31
Jun_15,37
Jun_14,43
Jun_13,44
Jun_12,43
Jun_11,46
Jun_10,52
Jun_9,57
Jun_8,66
Jun_7,70
Jun_6,69
Jun_5,71
Jun_4,73
Jun_3,74
Jun_2,79
Jun_1,86
May_31,83
May_30,84
May_29,85
May_28,90
May_27,101
May_26,114
May_25,129
May_24,134
May_23,143
May_22,149
May_21,147
May_20,154
May_19,169
May_18,191
May_17,190
May_16,198
May_15,219
May_14,231
May_13,239
May_12,270
May_11,282
May_10,296
May_9,295
May_8,328
May_7,339
May_6,359
May_5,367
May_4,387
May_3,401
May_2,426
May_1,452
Apr_30,491
Apr_29,517
Apr_28,534
Apr_27,566
Apr_26,600
Apr_25,620
Apr_24,635
Apr_23,681
Apr_22,703
Apr_21,733
Apr_20,777
Apr_19,760
Apr_18,781
Apr_17,809
Apr_16,846
Apr_15,868
Apr_14,889
Apr_13,915
Apr_12,940
Apr_11,931
Apr_10,981
Apr_9,993
Apr_8,994
Apr_7,1008
Apr_6,999
Apr_5,1013
Apr_4,1002
Apr_3,985
Apr_2,916
Apr_1,906
Mar_31,834
Mar_30,786
Mar_29,709
Mar_28,656
Mar_27,579
Mar_26,498
Mar_25,422
Mar_24,322
Mar_23,286
Mar_22,239
Mar_21,200
Mar_20,168
Mar_19,115
Mar_18,88
Mar_17,66
Mar_16,51
Mar_15,32
