Month,Number_of_cases
Nov_20,363
Nov_19,343
Nov_18,313
Nov_17,230
Nov_16,222
Nov_15,208
Nov_14,205
Nov_13,191
Nov_12,143
Nov_11,146
Nov_10,100
Nov_9,126
Nov_8,143
Nov_7,89
Nov_6,145
Nov_5,125
Nov_4,118
Nov_3,75
Nov_2,97
Nov_1,124
Oct_31,127
Oct_30,113
Oct_29,125
Oct_28,103
Oct_27,88
Oct_26,119
Oct_25,61
Oct_24,77
Oct_23,155
Oct_22,121
Oct_21,89
Oct_20,58
Oct_19,76
Oct_18,91
Oct_17,73
Oct_16,47
Oct_15,110
Oct_14,73
Oct_13,102
Oct_12,97
Oct_11,58
Oct_10,72
Oct_9,54
Oct_8,69
Oct_7,114
Oct_6,75
Oct_5,73
Oct_4,64
Oct_3,75
Oct_2,63
Oct_1,77
Sep_30,113
Sep_29,38
Sep_28,50
Sep_27,95
Sep_26,61
Sep_25,114
Sep_24,125
Sep_23,110
Sep_22,61
Sep_21,70
Sep_20,82
Sep_19,110
Sep_18,126
Sep_17,153
Sep_16,113
Sep_15,106
Sep_14,109
Sep_13,121
Sep_12,136
Sep_11,176
Sep_10,155
Sep_9,156
Sep_8,136
Sep_7,119
Sep_6,167
Sep_5,168
Sep_4,198
Sep_3,195
Sep_2,267
Sep_1,235
Aug_31,248
Aug_30,299
Aug_29,323
Aug_28,371
Aug_27,441
Aug_26,320
Aug_25,280
Aug_24,266
Aug_23,397
Aug_22,332
Aug_21,324
Aug_20,288
Aug_19,297
Aug_18,246
Aug_17,197
Aug_16,279
Aug_15,166
Aug_14,103
Aug_13,56
Aug_12,54
Aug_11,34
Aug_10,28
Aug_9,36
Aug_8,43
Aug_7,20
Aug_6,43
Aug_5,33
Aug_4,34
Aug_3,23
Aug_2,30
Aug_1,31
July_31,36
July_30,18
July_29,48
July_28,28
July_27,25
July_26,58
July_25,113
July_24,41
July_23,63
July_22,45
July_21,26
July_20,16
July_19,34
July_18,39
July_17,60
July_16,61
July_15,39
July_14,33
July_13,62
July_12,44
July_11,35
July_10,45
July_9,50
July_8,63
July_7,44
July_6,48
July_5,61
July_4,63
July_3,63
July_2,54
July_1,51
June__30,43
June__29,42
June__28,62
June__27,51
June__26,39
June_25,28
June__24,51
June__23,46
June__22,17
June__21,48
June__20,67
June_19,49
June_18,59
June_17,43
June_16,34
June_15,37
June_14,34
June_13,48
June_12,56
June_11,45
June_10,50
June_9,38
June_8,38
June_7,57
June_6,51
June_5,39
June_4,39
June_3,49
June_2,38
June_1,35
May_31,27
May_30,39
May_29,58
May_28,79
May_27,40
May_26,19
May_25,16
May_24,25
May_23,23
May_22,20
May_21,12
May_20,32
May_19,13
May_18,15
May_17,13
May_16,19
May_15,27
May_14,29
May_13,26
May_12,27
May_11,35
May_10,34
May_9,18
May_8,12
May_7,4
May_6,2
May_5,3
May_4,8
May_3,13
May_2,6
May_1,9
Apr_30,4
Apr_29,9
Apr_28,14
Apr_27,10
Apr_26,10
Apr_25,10
Apr_24,6
Apr_23,8
Apr_22,11
Apr_21,9
Apr_20,13
Apr_19,8
Apr_18,18
Apr_17,22
Apr_16,22
Apr_15,27
Apr_14,27
Apr_13,25
Apr_12,32
Apr_11,30
Apr_10,27
Apr_9,39
Apr_8,53
Apr_7,47
Apr_6,47
Apr_5,81
Apr_4,94
Apr_3,86
Apr_2,89
Apr_1,101
Mar_31,125
Mar_30,78
Mar_29,105
Mar_28,146
Mar_27,91
Mar_26,104
Mar_25,100
Mar_24,76
Mar_23,64
Mar_22,98
Mar_21,147
Mar_20,87
Mar_19,152
Mar_18,93
Mar_17,84
Mar_16,74
Mar_15,76
Mar_14,107
Mar_13,110
Mar_12,114
Mar_11,242
Mar_10,131
Mar_9,248
Mar_8,367
Mar_7,483
Mar_6,518
Mar_5,438
Mar_4,516
Mar_3,600
Mar_2,686
Mar_1,595
Feb_29,909
Feb_28,427
Feb_27,449
Feb_26,253
Feb_25,130
Feb_24,207
Feb_23,210
Feb_22,190
Feb_21,74
Feb_20,16
Feb_19,34
Feb_18,2
Feb_17,0
Feb_16,2
Feb_15,0
Feb_14,0
Feb_13,0
Feb_12,0
Feb_11,0
Feb_10,1
Feb_9,3
Feb_8,0
Feb_7,0
Feb_6,3
Feb_5,5
Feb_4,1
Feb_3,0
Feb_2,3
Feb_1,1
Jan_31,4
Jan_30,3
Jan_29,0
Jan_28,0
Jan_27,1
Jan_26,1
Jan_25,0
Jan_24,1
Jan_23,0
Jan_22,0
Jan_21,0
Jan_20,1
