Year,Men,Women
Rio_2016,128.73,144.07
London_2012,128.02,143.12
Beijing_2008,126.53,146.73
Athens_2004,130.92,146.33
Sydney_2000,130.18,143.23
Atlanta_1996,132.06,146.08
Barcelona_1992,133.38,152.68
Seoul_1988,130.53,144.67
Los_Angeles_1984,129.35,144.87
Moscow_1980,131.05,0
Montreal_1976,129.92,0
Munich_1972,132.33,0
Mexico_City_1968,140.44,0
Tokyo_1964,132.19,0
Rome_1960,135.27,0
Melbourne_1956,145.0,0
Helsinki_1952,143.05,0
London_1948,154.86,0
Berlin_1936,149.32,0
Los_Angeles_1932,151.6,0
Amsterdam_1928,152.95,0
Paris_1924,161.38,0
Antwerp_1920,152.6,0
Stockholm_1912,156.91,0
London_1908,175.31,0
St._Louis_1904,208.88,0
Paris_1900,179.75,0
Athens_1896,178.83,0
