Month,Number_of_viewers_in_thousands
November_2020,15.87
October_2020,14.68
September_2020,15.39
August_2020,16.78
July_2020,17.48
June_2020,16.68
May_2020,15.44
April_2020,15.83
March_2020,17.57
February_2020,25.5
January_2020,15.81
December_2019,15.69
November_2019,12.3
October_2019,11.14
September_2019,15.16
August_2019,19.13
July_2019,14.43
June_2019,16.77
May_2019,12.8
April_2019,11.47
March_2019,12.12
February_2019,16.81
January_2019,16.27
December_2018,12.46
November_2018,12.9
October_2018,9.19
September_2018,15.0
August_2018,19.06
July_2018,17.72
June_2018,12.32
May_2018,12.66
April_2018,11.14
March_2018,12.66
February_2018,16.92
January_2018,7.37
