Month,Square_footage_take-up
Aug_'20,136999
Jul_'20,63890
Jun_'20,187678
May_'20,108913
Apr_'20,41723
Mar_'20,160932
Feb_'20,223704
Jan_'20,277588
Dec_'19,654769
Nov_'19,293023
Oct_'19,478534
Sep_'19,319776
Aug_'19,151140
Jul_'19,462193
Jun_'19,223455
May_'19,312301
Apr_'19,300856
Mar_'19,420802
Feb_'19,585354
Jan_'19,235461
Dec_'18,457935
Nov_'18,349030
Oct_'18,477941
Sep_'18,148833
Aug_'18,283074
Jul_'18,1192648
Jun_'18,525288
May_'18,295141
Apr_'18,289756
Mar_'18,444038
Feb_'18,290660
Jan_'18,353624
