Police_force,Number_of_police_officers
Metropolitan_Police_(London),32958
Scotland,17431
Northern_Ireland,6917
Greater_Manchester,6866
West_Midlands,6516
West_Yorkshire,5342
Thames_Valley,4310
Kent,3780
Merseyside,3629
Essex,3298
North_Yorkshire,3155
Devon_&_Cornwall,3100
South_Wales,3012
Lancashire,2999
British_Transport_Police,2964
Avon_&_Somerset,2803
Sussex,2717
Hampshire,2692
South_Yorkshire,2437
West_Mercia,2219
Cheshire,2088
Hertfordshire,2086
Nottinghamshire,2072
Leicestershire,1979
Humberside,1966
Surrey,1928
Derbyshire,1849
Staffordshire,1666
Norfolk,1665
Cambridgeshire,1545
North_Wales,1510
Northamptonshire,1481
Gwent,1311
Northumbria,1272
Bedfordshire,1262
Dorset,1238
Cumbria,1221
Suffolk,1219
Gloucestershire,1176
Dyfed-Powys,1165
Durham,1141
Lincolnshire,1067
Warwickshire,1035
Wiltshire,1007
