320,Number_of_deaths
January_3_2020,22734
December_27_2020,21237
December_20_2020,19880
December_13_2020,18819
December_6_2020,17740
November_29_2020,16815
November_22_2020,15884
November_15_2020,15211
November_8_2020,14614
November_1_2020,13943
October_25_2020,13299
October_18_2020,12511
October_11_2020,11844
October_4_2020,11151
September_27_2020,10386
September_20_2020,9553
September_13_2020,8723
September_6_2020,8025
August_30_2020,7343
August_23_2020,6594
August_16_2020,6150
August_9_2020,5723
August_2_2020,5236
July_26_2020,4781
July_19_2020,4143
July_12_2020,3606
July_5_2020,3171
June_28_2020,2754
June_21_2020,2465
June_14_2020,2134
June_8_2020,1883
June_1_2020,1641
May_25_2020,1372
May_13_2020,1028
May_6_2020,895
April_28_2020,773
April_20_2020,590
April_13_2020,399
April_6_2020,209
March_30_2020,122
March_23_2020,49
March_13_2020,4
