Month,Index_number_of_sales_per_week
Jun_20,92.5
May_20,38.0
Apr_20,23.2
Mar_20,76.6
Feb_20,97.1
Jan_20,98.8
Dec_19,99.6
Nov_19,102.5
Oct_19,109.8
Sep_19,104.9
Aug_19,104.7
Jul_19,94.6
Jun_19,109.9
May_19,104.8
Apr_19,104.0
Mar_19,104.1
Feb_19,103.9
Jan_19,99.3
Dec_18,106.3
Nov_18,105.9
Oct_18,102.9
Sep_18,107.2
Aug_18,105.6
Jul_18,102.7
Jun_18,103.0
May_18,103.7
Apr_18,101.5
Mar_18,99.8
Feb_18,104.7
Jan_18,106.7
Dec_17,101.3
Nov_17,103.8
Oct_17,103.3
Sep_17,99.5
Aug_17,94.0
Jul_17,103.9
Jun_17,99.9
May_17,97.4
Apr_17,104.2
Mar_17,99.3
Feb_17,96.9
Jan_17,96.8
Dec_16,98.1
Nov_16,99.8
Oct_16,99.5
Sep_16,99.1
Aug_16,99.1
Jul_16,98.3
Jun_16,97.0
May_16,101.4
Apr_16,101.3
Mar_16,101.9
Feb_16,102.7
Jan_16,102.7
