Month,Number_of_deaths
Dec_17_2020,992
Dec_16_2020,992
Dec_15_2020,982
Dec_14_2020,967
Dec_13_2020,956
Dec_12_2020,946
Dec_11_2020,938
Dec_10_2020,931
Dec_9_2020,924
Dec_8_2020,914
Dec_7_2020,907
Dec_6_2020,901
Dec_5_2020,892
Dec_4_2020,882
Dec_3_2020,875
Dec_2_2020,864
Dec_1_2020,858
Nov_30_2020,848
Nov_29_2020,841
Nov_28_2020,830
Nov_27_2020,824
Nov_26_2020,811
Nov_25_2020,802
Nov_24_2020,797
Nov_23_2020,789
Nov_22_2020,784
Nov_21_2020,781
Nov_20_2020,778
Nov_19_2020,773
Nov_18_2020,770
Nov_17_2020,768
Nov_16_2020,764
Nov_15_2020,760
Nov_14_2020,757
Nov_13_2020,756
Nov_12_2020,755
Nov_11_2020,753
Nov_10_2020,750
Nov_9_2020,747
Nov_8_2020,743
Nov_7_2020,740
Nov_6_2020,738
Nov_5_2020,733
Nov_4_2020,729
Nov_3_2020,728
Nov_2_2020,724
Nov_1_2020,723
Oct_31_2020,721
Oct_30_2020,719
Oct_29_2020,716
Oct_28_2020,715
Oct_27_2020,709
Oct_26_2020,708
Oct_25_2020,708
Oct_24_2020,706
Oct_23_2020,704
Oct_22_2020,699
Oct_21_2020,695
Oct_20_2020,691
Oct_19_2020,688
Oct_18_2020,687
Oct_17_2020,684
Oct_16_2020,679
Oct_15_2020,677
Oct_14_2020,677
Oct_13_2020,676
Oct_12_2020,675
Oct_11_2020,672
Oct_10_2020,670
Oct_9_2020,667
Oct_8_2020,666
Oct_7_2020,664
Oct_6_2020,663
Oct_5_2020,663
Oct_4_2020,661
Oct_3_2020,658
Oct_2_2020,655
Oct_1_2020,653
Sep_30_2020,651
Sep_29_2020,651
Sep_28_2020,650
Sep_27_2020,649
Sep_26_2020,649
Sep_25_2020,648
Sep_24_2020,647
Sep_23_2020,645
Sep_22_2020,644
Sep_21_2020,642
Sep_20_2020,641
Sep_19_2020,638
Sep_18_2020,635
Sep_17_2020,635
Sep_16_2020,635
Sep_15_2020,634
Sep_14_2020,633
Sep_13_2020,633
Sep_12_2020,631
Sep_11_2020,630
Sep_10_2020,629
Sep_9_2020,629
Sep_8_2020,628
Sep_7_2020,628
Sep_6_2020,628
Sep_5_2020,627
Sep_4_2020,627
Sep_3_2020,627
Sep_2_2020,626
Sep_1_2020,626
Aug_31_2020,626
Aug_30_2020,624
Aug_29_2020,624
Aug_28_2020,624
Aug_27_2020,624
Aug_26_2020,624
Aug_25_2020,624
Aug_24_2020,623
Aug_23_2020,623
Aug_22_2020,623
Aug_21_2020,622
Aug_20_2020,621
Aug_19_2020,621
Aug_18_2020,621
Aug_17_2020,621
Aug_16_2020,621
Aug_15_2020,621
Aug_14_2020,621
Aug_13_2020,621
Aug_12_2020,621
Aug_11_2020,621
Aug_10_2020,621
Aug_9_2020,620
Aug_8_2020,618
Aug_7_2020,617
Aug_6_2020,617
Aug_5_2020,617
Aug_4_2020,616
Aug_3_2020,616
Aug_2_2020,616
Aug_1_2020,616
Jul_31_2020,616
Jul_30_2020,615
Jul_29_2020,615
Jul_28_2020,614
Jul_27_2020,613
Jul_26_2020,613
Jul_25_2020,613
Jul_24_2020,613
Jul_23_2020,613
Jul_22_2020,613
Jul_21_2020,611
Jul_20_2020,611
Jul_19_2020,611
Jul_18_2020,611
Jul_17_2020,611
Jul_16_2020,610
Jul_15_2020,610
Jul_14_2020,610
Jul_13_2020,610
Jul_12_2020,610
Jul_11_2020,610
Jul_10_2020,610
Jul_09_2020,609
Jul_08_2020,609
Jul_07_2020,609
Jul_06_2020,609
Jul_05_2020,607
Jul_04_2020,607
Jul_03_2020,606
Jul_02_2020,606
Jul_01_2020,606
Jun_30_2020,606
Jun_29_2020,606
Jun_28_2020,606
Jun_27_2020,605
Jun_26_2020,605
Jun_25_2020,605
Jun_24_2020,604
Jun_23_2020,604
Jun_22_2020,603
Jun_21_2020,603
Jun_20_2020,603
Jun_19_2020,602
Jun_18_2020,601
Jun_17_2020,600
Jun_16_2020,599
Jun_15_2020,598
Jun_14_2020,598
Jun_13_2020,597
Jun_12_2020,597
Jun_11_2020,594
Jun_10_2020,593
Jun_09_2020,593
Jun_08_2020,593
Jun_07_2020,593
Jun_06_2020,591
Jun_05_2020,588
Jun_04_2020,586
Jun_03_2020,582
Jun_02_2020,581
Jun_01_2020,580
May_31_2020,577
May_30_2020,575
May_29_2020,571
May_28_2020,570
May_27_2020,570
May_26_2020,569
May_25_2020,566
May_24_2020,566
May_23_2020,565
May_22_2020,564
May_21_2020,563
May_20_2020,563
May_19_2020,558
May_18_2020,556
May_17_2020,553
May_16_2020,550
May_15_2020,547
May_14_2020,541
May_13_2020,541
May_12_2020,536
May_11_2020,529
May_10_2020,525
May_09_2020,520
May_08_2020,517
May_07_2020,513
May_06_2020,507
May_05_2020,501
May_04_2020,498
May_03_2020,491
May_02_2020,482
May_01_2020,474
Apr_30_2020,463
Apr_29_2020,454
Apr_28_2020,445
Apr_27_2020,435
Apr_26_2020,426
Apr_25_2020,421
Apr_24_2020,416
Apr_23_2020,410
Apr_22_2020,400
Apr_21_2020,386
Apr_20_2020,374
Apr_19_2020,367
Apr_18_2020,361
Apr_17_2020,351
Apr_16_2020,342
Apr_15_2020,330
Apr_14_2020,320
Apr_13_2020,308
Apr_12_2020,292
Apr_11_2020,281
Apr_10_2020,270
Apr_09_2020,254
Apr_08_2020,241
Apr_07_2020,226
Apr_06_2020,214
Apr_05_2020,197
Apr_04_2020,185
Apr_03_2020,170
Apr_02_2020,150
Apr_01_2020,132
Mar_31_2020,110
Mar_30_2020,95
Mar_29_2020,84
Mar_28_2020,76
Mar_27_2020,67
Mar_26_2020,55
Mar_25_2020,43
Mar_24_2020,37
Mar_23_2020,31
Mar_22_2020,25
Mar_21_2020,22
Mar_20_2020,19
Mar_19_2020,15
Mar_18_2020,10
Mar_17_2020,6
Mar_16_2020,5
Mar_15_2020,4
Mar_14_2020,2
Mar_13_2020,1
Mar_12_2020,1
Mar_11_2020,1
