Product_name_(company),Revenue_in_million_U.S._dollars
Prolia_(Amgen),1049
Premarin_(Pfizer),956
Mirena_(Bayer),776
Forteo_(Eli_Lilly),771
NuvaRing_(Merck),576
Nexplanon_(Merck),420
Lo_Loestrin_Fe_(Allergan),404
Estrace_Cream_(Allergan),379
Makena_(AMAG_Pharm.),334
Minastrin_24_FE_(Allergan),326
Vagifem_(Novo_Nordisk),302
Lupron_(AbbVie),285
Gonal-F_(Merck_KGaA),221
Follistim_(Merck),157
Yasmin_(Bayer),142
Oral_contrception_franchise_(J&J/Pfizer),129
Natazia_(Bayer),104
Minivelle_(Hisamitsu),88
Caltrate_(Pfizer),87
Junel/Loestrin_(Teva),79
