ice_hockey_team,Beer_price_in_U.S._dollars
New_York_Rangers_(24),10.5
New_York_Islanders_(16),9.75
Minnesota_Wild_(20),9.5
St._Louis_Blues_(20),9
Los_Angeles_Kings_(20),8.5
New_Jersey_Devils_(16),8.5
Philadelphia_Flyers_(20),8.5
Boston_Bruins_(16),8.5
Anaheim_Ducks_(16),8.25
Florida_Panthers_(16),8
Chicago_Blackhawks_(16),8
Washington_Capitals_(24),8
Buffalo_Sabres_(20),8
Vancouver_Canucks_(16),7.58
NHL_average_(16),7.45
Winnipeg_Jets_(12),7.36
Calgary_Flames_(18),7.01
Nashville_Predators_(12),6.75
Colorado_Avalanche_(12),6.75
Detroit_Red_Wings_(16),6.5
Carolina_Hurricanes_(16),6.5
Toronto_Maple_Leafs_(16),6.47
Edmonton_Oilers_(12),6.25
San_Jose_Sharks_(16),6.25
Montreal_Canadians_(14),6.01
Dallas_Stars_(16),6
Tampa_Bay_Lightning_(12),5.5
Columbus_Blue_Jackets_(12),5.5
Ottawa_Senators_(14),5.35
Pittsburgh_Pinguins_(12),5.25
Phoenix_Coyotes_(16),0
