Quarter,Unemployment_rate
Q2_2020,5.7
Q1_2020,7.4
Q4_2019,7.7
Q3_2019,8.7
Q2_2019,7.4
Q1_2019,7.5
Q4_2018,8
Q3_2018,7.6
Q2_2018,8.6
Q1_2018,10
Q4_2017,11.2
Q3_2017,11.6
Q2_2017,14.4
Q1_2017,15.5
Q4_2016,16.8
Q3_2016,17.3
Q2_2016,15.4
Q1_2016,15.5
Q4_2015,18.2
Q3_2015,19.4
Q2_2015,21.4
Q1_2015,21.1
Q4_2014,18.7
Q3_2014,19.5
Q2_2014,21
Q1_2014,21.3
Q4_2013,21.4
Q3_2013,19.5
Q2_2013,18.2
Q1_2013,20
Q4_2012,19.2
Q3_2012,20
Q2_2012,20.6
Q1_2012,18.5
Q4_2011,18.8
Q3_2011,19
Q2_2011,17.8
Q1_2011,18.3
Q4_2010,18.6
Q3_2010,16.6
Q2_2010,18.4
Q1_2010,16.7
Q4_2009,16.8
Q3_2009,16.4
Q2_2009,13.8
Q1_2009,13.8
Q4_2008,11.1
Q3_2008,10.2
Q2_2008,10.3
Q1_2008,10.3
Q4_2007,10.1
Q3_2007,9.5
Q2_2007,10.4
Q1_2007,10.8
Q4_2006,11.5
Q3_2006,12.1
Q2_2006,11
Q1_2006,10.2
Q4_2005,9.6
Q3_2005,10
Q2_2005,11.4
Q1_2005,12.3
Q4_2004,12.6
