ice_hockey_team,Franchise_value_in_million_U.S._dollars
New_York_Rangers,1650
Toronto_Maple_Leafs,1500
Montreal_Canadiens,1340
Chicago_Blackhawks,1085
Boston_Bruins,1000
Los_Angeles_Kings,850
Philadelphia_Flyers,825
Detroit_Red_Wings,800
Washington_Capitals,775
Vancouver_Canucks,740
Pittsburgh_Penguins,665
Dallas_Stars,600
Vegas_Golden_Knights,580
Edmonton_Oilers,575
New_Jersey_Devils,550
San_Jose_Sharks,540
St._Louis_Blues,530
New_York_Islanders,520
Minnesota_Wild,510
Calgary_Flames,500
Anaheim_Ducks,480
Colorado_Avalanche,475
Tampa_Bay_Lightning,470
Nashville_Predators,460
Carolina_Hurricanes,450
Ottawa_Senators,445
Winnipeg_Jets,420
Buffalo_Sabres,400
Columbus_Blue_Jackets,325
Florida_Panthers,310
Arizona_Coyotes,300
