product_category,Sales_in_billion_South_Korean_won
Travel_arrangement_and_transportation_services,17475.9
Home_electric_appliances_electronic_and_telecommunication_equipment,14569.98
Clothing,14496.48
Food_&_beverages,13428.73
Cosmetics,12382.22
Household_goods,10046.12
Food_services,9732.84
Computers_and_computer-related_appliances,5754.22
Sports_and_leisure_appliances,4183.29
Goods_for_infants_and_children,4005.3
Agriculture_livestock_and_fishery_products,3534.2
Furniture,3475.59
E-coupon_services,3323.93
Others,3164.52
Luggage,2607.22
Fashion_and_accessories,2539.57
Culture_and_leisure_services,2212.73
Footwear,2121.11
Books,1858.71
Motor_vehicles_and_motor_vehicle_parts_&_accessories,1332.4
Miscellaneous_services,1154.45
Office_appliances_and_stationery,940.96
Pet_products,923.59
