Metropolitan_Area,Number_of_adherents
New_York-Northern_New_Jersey-Long_Island,10505858
Los_Angeles-Long_Beach-Santa_Ana,6591695
Chicago-Joliet-Naperville,5408169
Dallas-Fort_Worth-Arlington,3525880
Houston-Sugar_Land-Baytown,3279316
Philadelphia-Camden-Wilmington,3261111
Atlanta-Sandy_Springs-Marietta,2619742
Boston-Cambridge-Quincy,2584189
Washington-Arlington-Alexandria,2488324
Miami-Fort_Lauderdale-Pompano_Beach,2117809
Detroit-Warren-Livonia,1915407
Riverside-San_Bernardino-Ontario,1786808
Minneapolis-St._Paul-Bloomington,1707511
San_Francisco-Oakland-Fremont,1638625
Phoenix-Mesa-Glendale,1573094
St._Louis,1387266
Pittsburgh,1359459
San_Diego-Carlsbad-San_Marcos,1359377
Seattle-Tacoma-Bellevue,1226050
San_Antonio-New_Braunfels,1158957
