"reasons_behind_U.S._purchases_of_vitamins,_minerals,_and/or_nutritional_supplements",Percentage_respondents
To_help_boost_health_in_general,95
For_bone_and_joint_health,90
To_strengthen_immune_system,90
To_improve_heart_helath,87
To_help_ward_off_illnesses,86
For_energy,85
To_improve_brain_function/memory,78
To_help_with_digestion,75
To_lower_cholesterol,73
To_improve_eye_sight,72
To_treat_a_specific_condition,72
To_sleep_better,64
For_pregnancy,63
To_manage_stress,60
For_cancer_prevention,58
For_weight_control,57
To_manage_diabetes,52
To_look_younger,49
