Type_of_Institution,Number_of_institutions
Total,3175
Comprehensive_schools,2187
Comprehensive_school_level_special_education_schools,63
Upper_secondary_general_schools,335
Comprehensive_and_upper_secondary_general_level_schools,42
Vocational_institutes,84
Specialised_vocational_institutes,19
Special_needs_vocational_institutes,5
Vocational_adult_education_centres,10
Fire_police_and_security_service_institutes,1
Military_vocational_institutes,6
Universities_of_applied_sciences,25
Universities,13
Military_academies,1
Music_schools_and_colleges,84
Sports_institutes,13
Folk_high_schools,73
Adult_education_centres,177
Summer_universities,19
Study_circle_centres,12
Other_educational_institutions,6
