video_game,Number_of_units_in_thousands
Playerunknown’s_Battlegrounds,27795
Counter-Strike:_Global_Offensive,12537
Grand_Theft_Auto_V,3462
Tom_Clancy's_Rainbow_Six_Siege,2958
The_Witcher_3:_Wild_Hunt,1895
Rocket_League,1818
ARK:_Survival_Evolved,1529
Cuphead,1336
Sid_Meier's_Civilization_VI,1134
Dark_Souls_III,1023
Divinity:_Original_Sin_2,1004
Call_of_Duty:_WWII,840
Tom_Clancy's_Ghost_Recon_Wildlands,820
Middle-Earth:_Shadow_of_War,697
NieR:_Automata,668
Total_War:_WARHAMMER_II,643
Assasin's_Creed_Origins,607
Football_Manager_2018,590
For_Honor,587
Resident_Evil_7,545
