World_leaders_and_foreign_ministries_with_the_most_mutual_Twitter_connections,Number_of_mutual_peer_connections
Foreign_Ministry_Iceland_@MFAIceland,147
EU_External_Action_@EU-eeas,145
Foreign_Office_UK_@ForeignOffice,145
Foreign_Ministry_Russia_@MFA_Russia,145
Foreign_Ministry_Israel_@IsraelMFA,127
Foreign_Ministry_Lithuania_@LithuaniaMFA,124
Foreign_Ministry_France_@FanceDiplo,122
Foreign_Ministry_Denmark_@DanishMFA,116
Foreign_Ministry_Belgium_@BelgiumMFA,112
Foreign_Ministry_The_Netherlands_@DutchMFA,112
