Response,Share_of_respondents
My_personal_information_being_stolen_by_criminals_hacking_into_large_websites,84
My_personal_information_being_lost_by_organisations_not_looking_after_it_properly,79
Nuisance_and_‘cold’_calls,78
Spam_emails_and_texts,69
The_level_of_control_I_have_over_my_personal_information_on_social_networks,59
Mobile_apps_accessing_information_on_my_phone,54
Security_services_(MI5_MI6_GCHQ)_having_access_to_details_of_my_telephone_calls_and_internet_browsing_history,44
Cookies_on_websites,43
Use_of_my_health_records_for_research_purposes,43
Cloud_computing,25
