Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Manufacturing,93.29
Finance_insurance_real_estate_rental_and_leasing,51.25
Educational_services_health_care_and_social_assistance,32.5
Government_and_government_enterprises,30.78
Professional_and_business_services,30.4
Retail_trade,19.85
Wholesale_trade,18.31
Arts_entertainment_recreation_accommodation_and_food_services,11.65
Construction,11.37
Transportation_and_warehousing,11.14
Information,7.25
Other_services_(except_government_and_government_enterprises),7.02
Utilities,6.11
Agriculture_forestry_fishing_and_hunting,4.91
Mining_quarrying_and_oil_and_gas_extraction,1.39
