cruise_ship,Gross_tonnage_in_thousands
Harmony_of_the_Seas_(Royal_Caribbean_-_2016),226.96
Allure_of_the_Seas_(Royal_Caribbean_-_2010),225.28
Oasis_of_the_Seas_(Royal_Caribbean_-_2009),225.28
MSC_Meraviglia_(MSC_Cruises_-_2017),171.6
Quantum_of_the_Seas_(Royal_Caribbean_-_2014),168.67
Anthem_of_the_Seas_(Royal_Caribbean_-_2015),168.67
Ovation_of_the_Seas_(Royal_Caribbean_-_2016),167.67
Norwegian_Escape_(Norwegian_Cruise_Line_-_2015),164.6
Liberty_of_the_Seas_(Royal_Caribbean_-_2007),160.0
Norwegian_Epic_(Norwegian_Cruise_Line_-_2010),155.87
Freedom_of_the_Seas_(Royal_Caribbean_-_2006),154.41
Independence_of_the_Seas_(Royal_Caribbean_-_2008),154.41
Queen_Mary_2_(Cunard_-_2004),148.53
Norwegian_Breakaway_(Norwegian_Cruise_Line_-_2013),146.6
Norwegian_Getaway_(Norwegian_Cruise_Line_-_2014),145.66
Britannia_(P&O_Cruises_-_2015),143.0
Royal_Princess_(Princess_Cruises_-_2013),141.0
Regal_Princess_(Princess_Cruises_-_2014),141.0
MSC_Divina_(MSC_Cruises_-_2012),139.07
MSC_Preziosa_(MSC_Cruises_-_2013),139.07
Navigator_of_the_Seas_(Royal_Caribbean_-_2002),138.28
Mariner_of_the_Seas_(Royal_Caribbean_-_2003),138.28
MSC_Fantasia_(MSC_Cruises_-_2008),137.94
MSC_Splendida_(MSC_Cruises_-_2009),137.94
Explorer_of_the_Seas_(Royal_Caribbean_-_2000),225.28
