Richest_families_in_Russia,Assets_in_billion_U.S._dollars
Arkady_Rotenberg_Boris_Rotenberg_Igor_Rotenberg_and_Liliya_Rotenberg,5.45
Andrei_Guriev_Evgeniya_Gurieva_Andrei_Guriev_Jr._Julia_Gurieva-Motlokhov,5.1
Mikhail_Gutseriev_Sait-Salam_Gutseriev_Said_Gutseriev,3.2
Airat_Shaimiev_Radik_Shaimiev_Timur_Shaimiev,2.85
Vladimir_Evtushenkov_Felix_Evtushenkov,2.3
Musa_Bazhaev_Mavlit_Bazhaev_Deni_Bazhaev,1.9
Megdet_Rahimkulov_Timur_Rahimkulov_Ruslan_Rahimkulov,1.8
Sergei_Sarkisov_Nikolai_Sarkisov,1.7
Alexander_Linnik_Viktor_Linnik,1.35
Lidiya_Mikhailova_Sergey_Mikhailov_Evgeny_Mikhailov_Lyudmila_Mikhailova,1.1
