Response,Less_likely,Neither_more_nor_less_likely,Don't_know/no_opinion,More_likely
Go_to_a_concert,63,23,10,6
Use_public_transport,63,21,11,5
Go_to_a_movie_theater,62,24,9,6
Go_to_an_amusement_park,62,23,10,6
Go_to_a_theater_performance,62,24,10,5
Go_to_sporting_events,61,24,11,5
Go_to_a_museum,61,24,11,5
Go_to_a_shopping_mall,60,24,8,7
Go_to_a_party_or_social_event,59,26,9,5
Go_to_the_gym,59,25,11,5
Go_to_a_political_rally,58,26,12,5
Use_a_ride-hailing_service,57,25,12,6
Go_out_to_eat_in_a_restaurant_or_cafe,56,28,7,9
Take_a_vacation,51,30,9,11
Go_to_a_work_conference,51,29,16,4
Go_to_a_religious_gathering_or_meeting,50,31,11,8
Go_to_the_grocery_store,40,40,7,12
Invest_in_the_stock_market,37,39,18,7
Vote_in_a_political_election,33,41,11,15
