river,Length_in_miles_
Missouri_(Missouri)_,2540
Mississippi_(Louisiana),2340
Yukon_(Alaska),1980
St_Lawrence_(Canada),1900
Rio_Grande_(Mexico-Texas),1900
Arkansas_(Arkansas),1460
Colorado_(Mexico),1450
Atchafalaya__(Louisiana),1420
Ohio_(Illinois-Kentucky),1310
Red__(Louisiana),1290
Brazos_(Texas),1280
Columbia_(Oregon-Washington),1240
Snake_(Washington),1040
Platte_(Nebraska),990
Pecos_(Texas),926
Canadian_(Oklahoma),906
Tennessee_(Kentucky),886
Colorado_(of_Texas)_(Texas),862
North_Canadian_(Oklahoma),800
Mobile_(Alabama),774
Kansas_(Kansas),743
Kuskokwim_(Alaska),724
Yellowstone_(North_Dakota),692
Tanana_(Alaska),659
Gila_(Arizona),649
Porcupine_(Alaska),569
Susquehanna_(Maryland),447
Stikine_(Alaska),379
Susitna_(Alaska),313
Willamette_(Oregon),309
Copper_(Alaska),286
Nushagak_(Alaska),285
