family_medicine_physician,Median_gross_charges_in_U.S._dollars
Diagnostic_Radiology_(M.D.s_interventional),2366223
Diagnostic_Radiology_(M.D.s_non-interventional),2181076
Orthopedic_surgery,2013979
Gastroenterology,1925073
Ophthalmology,1901428
Urology,1795229
Cardiac_&_thoracic_surgery,1663247
Dermatology,1649366
Otolaryngology,1605445
Cardiology_(invasive),1496641
Anesthesiology,1342339
General_surgery,1316116
Cardiology,1298288
Obstetricians/gynecologists_-_general,1266715
Emergency_medicine,1017726
Pulmonary_disease,1003779
Nephrology,967052
Pediatrics_(general),873546
Rheumatology,845886
Neurology,816409
Internal_medicine,739067
Family_medicine,732661
Hematology_&_medical_oncology,684264
Endocrinology,669768
Psychiatry,489583
Hospitalist_-_internal_medicine,460709
