region_of_Kazakhstan,Cases,Recoveries,Deaths
East_Kazakhstan_Region,18088,13443,306
Nur-Sultan,17432,16033,348
Almaty,17344,16089,359
Atyrau_Region,12343,11647,92
Karaganda_Region,11602,10930,289
West_Kazakhstan_Region,8708,7670,154
Pavlodar_Region,8071,6335,69
North_Kazakhstan_Region,7773,6882,41
Kostanay_Region,6677,6374,29
Akmola_Region,6456,5288,92
Almaty_Region,6405,5559,74
Shymkent,5449,5285,78
Jambyl_Region,4820,4376,61
Aktobe_Region,3604,3450,39
Turkistan_Region,3564,3439,46
Mangystau_Region,3539,3444,55
Kyzylorda_Region,3338,3281,15
