public_library,Number_of_visits
New_York_Public_Library_The_Branch_Libraries_NY,18162641
Los_Angeles_Public_Library_CA,13821289
Queens_Borough_Public_Library_NY,12881000
Brooklyn_Public_Library_NY,12024071
County_of_Los_Angeles_Public_Library_CA,11832995
Chicago_Public_Library_IL,11182193
King_County_Library_System_WA,10156339
Broward_County_Libraries_Division_FL,8749429
Wake_County_Public_Libraries_NC,7931842
Cuyahoga_County_Public_Library_OH,7799480
Public_Library_of_Cincinnati_&_Hamilton_County_OH,7395284
Columbus_Metropolitan_Library_OH,7359664
San_Francisco_Public_Library_CA,7248424
Miami-Dade_Public_Library_System_FL,6762294
Las_Vegas-Clark_County_Library_District_NV,6673789
Seattle_Public_Library_WA,6470116
Palm_Beach_County_Library_System_FL,6313598
San_Jose_Public_Library_CA,6168223
Free_Library_of_Philadelphia_PA,5961777
San_Diego_County_Library_CA,5920891
Saint_Louise_County_Library_MO,5752996
San_Diego_Public_Library_CA,5602380
Harris_County_Public_Library_TX,5409433
Pima_County_Public_Library_AZ,5404382
Hennepin_County_Library_MN,5392726
