oblast_of_Ukraine,Total_cases,Recoveries,Deaths
Kyiv,98330,31215,1679
Kharkiv_Oblast,64237,49042,959
Odessa_Oblast,61963,24281,879
Lviv_Oblast,55860,40657,1616
Kyiv_Oblast,51588,23476,859
Dnipropetrovsk_Oblast,51401,39263,1223
Zaporizhia_Oblast,45715,14487,459
Ivano-Frankivsk_Oblast,41644,18311,764
Rivne_Oblast,37840,32185,469
Chernivtsi_Oblast,37695,23976,729
Sumy_Oblast,37157,27735,480
Khmelnytskyi_Oblast,36027,27669,580
Zhytomyr_Oblast,35662,27621,600
Cherkasy_Oblast,33837,15934,297
Ternopil_Oblast,32089,27404,434
Donetsk_Oblast,31449,21225,641
Poltava_Oblast,31097,21932,655
Volyn_Oblast,29817,22997,478
Zakarpattia_Oblast,26855,20466,603
Chernihiv_Oblast,26409,11377,290
Mykolaiv_Oblast,25826,11750,416
Vinnytsia_Oblast,20578,12639,350
Kherson_Oblast,15151,6239,347
Luhansk_Oblast,8533,6185,229
Kirovohrad_Oblast,7621,3155,220
