theme_park,Attendance_in_millions
Magic_Kingdom_(Walt_Disney_World)_USA,20.96
Disneyland_Anaheim_USA,18.66
Tokyo_Disneyland_Japan,17.91
Tokyo_Disney_Sea_Japan,14.65
Universal_Studios_Japan,14.5
Disney's_Animal_Kingdom_USA,13.89
Epcot_(Walt_Disney_World)_USA,12.44
Chimelong_Ocean_Kingdom_China,11.74
Disney's_Hollywood_Studios_USA,11.48
Shanghai_Disneyland_China,11.21
Universal_Studios_Orlando_USA,10.92
Islands_of_Adventure_USA,10.38
Disney's_California_Adventure_USA,9.86
Disneyland_Park_France,9.74
Universal_Studios_Hollywood_USA,9.15
Everland_South_Korea,6.61
Lotte_World_South_Korea,5.95
Nagashima_Spa_Land_Japan,5.95
Europa_Park_Germany,5.75
Hong_Kong_Disneyland_Hong_Kong_S.A.R.,5.7
Ocean_Park_Hong_Kong_S.A.R.,5.7
De_Efteling_the_Netherlands,5.26
Walt_Disney_Studios_Park_France,5.25
OCTHappz_Vallez_Beijing_China,5.16
Chimelong_Paradise_China,4.91
