Response,Share_of_respondents
It_is_a_great_opportunity_to_buy_gifts_for_the_holidays,42
It's_a_tradition,39
I_like_it_even_more_now_that_I_can_shop_online,37
It_is_the_best_opportunity_to_buy_expensive_items_at_a_discount,33
It_is_when_you_find_promotions_that_are_not_available_at_any_other_time_of_year,31
It_is_a_good_way_to_spend_quality_time_with_friends/family,19
I_will_wait_until_Cyber_Monday_to_do_most_of_my_shopping,18
Promotions_are_never_on_products_I_am_interested_in,16
Retailers_just_discount_their_worst_brands,9
None_of_these,5
