Month,Index_number_of_sales_per_week
Jun_20,112.9
May_20,77.0
Apr_20,75.6
Mar_20,126.1
Feb_20,123.0
Jan_20,112.8
Dec_19,126.4
Nov_19,138.5
Oct_19,131.0
Sep_19,137.1
Aug_19,141.8
Jul_19,141.9
Jun_19,144.8
May_19,142.1
Apr_19,136.4
Mar_19,137.7
Feb_19,146.3
Jan_19,142.0
Dec_18,129.2
Nov_18,135.9
Oct_18,137.4
Sep18,130.6
Aug_18,130.8
Jul_18,128.1
Jun_18,124.8
May_18,124.9
Apr_18,119.6
Mar_18,119.9
Feb_18,118.0
Jan_18,114.5
Dec_17,113.4
Nov_17,113.6
Oct_17,109.7
Sep_17,111.6
Aug_17,105.7
Jul_17,105.5
Jun_17,105.0
May_17,104.2
Apr_17,110.5
Mar_17,110.8
Feb_17,106.9
Jan_17,104.0
Dec_16,101.3
Nov_16,101.9
Oct_16,103.4
Sep_16,100.9
Aug_16,107.1
July_16,104.8
June_16,97.4
May_16,98.5
April_16,98.1
Mar_16,95.3
Feb_16,95.9
Jan_16,96.4
