federative_unit_of_Brazil,Number_of_cases
São_Paulo,1471422
Minas_Gerais,550672
Santa_Catarina,497345
Bahia,496008
Rio_Grande_do_Sul,454757
Rio_de_Janeiro,435739
Paraná,421315
Ceará,336763
Goiás,309341
Pará,294010
Distrito_Federal,253355
Espírito_Santo,251643
Pernambuco,223540
Amazonas,202413
Maranhão,201017
Mato_Grosso,180380
Paraíba,168044
Piauí,143489
Mato_Grosso_do_Sul,135917
Rio_Grande_do_Norte,119079
Sergipe,114685
Alagoas,105714
Rondônia,96906
Tocantins,90703
Roraima,68875
Amapá,68568
Acre,42046
