Year_and_candidate,Democrat,Republican,People's_Party
2020:_Donald_Trump,0,6,0
2016:_Donald_Trump,0,6,0
2012:_Mitt_Romney,0,6,0
2008:_John_McCain,0,6,0
2004:_George_W._Bush,0,6,0
2000:_George_W._Bush,0,6,0
1996:_Bob_Dole,0,6,0
1992:_George_H._W._Bush,0,6,0
1988:_George_H._W._Bush,0,7,0
1984:_Ronald_Reagan,0,7,0
1980:_Ronald_Reagan,0,7,0
1976:_Gerald_R._Ford,0,7,0
1972:_Richard_Nixon,0,7,0
1968:_Richard_Nixon,0,7,0
1964:_Lyndon_B._Johnson,7,0,0
1960:_Richard_Nixon,0,8,0
1956:_Dwight_D._Eisenhower,0,8,0
1952:_Dwight_D._Eisenhower,0,8,0
1948:_Thomas_E._Dewey,0,8,0
1944:_Thomas_E._Dewey,0,8,0
1940:_Wendell_Wilkie,0,9,0
1936:_Franklin_D._Roosevelt,9,0,0
1932:_Franklin_D._Roosevelt,9,0,0
1928:_Herbert_Hoover,0,10,0
1924:_Calvin_Coolidge,0,10,0
1920:_Warren_G._Harding,0,10,0
1916:_Woodrow_Wilson,10,0,0
1912:_Woodrow_Wilson,10,0,0
1908:_William_Howard_Taft,0,10,0
1904:_Theodore_Roosevelt,0,10,0
1900:_William_McKinley,0,10,0
1896:_William_Jennings_Bryan,10,0,0
1892:_James_B._Weaver,0,0,10
1888:_Benjamin_Harrison,0,9,0
1884:_James_G._Blaine,0,9,0
1880:_James_A._Garfield,0,5,0
1876:_Rutherford_B._Hayes,0,5,0
1872:_Ulysses_S._Grant,0,5,0
1868:_Ulysses_S._Grant,0,3,0
1864:_Abraham_Lincoln,0,3,0
