association_football_club,Salary_in_thousand_U.S._dollars
Toronto_FC,758.35
LA_Galaxy,654.57
New_York_City_FC,371.98
Chicago_Fire,611.25
Los_Angeles_FC,509.99
Seattle_Sounders_FC,488.51
Portland_Timbers,464.96
Montreal_Impact,438.41
Colorado_Rapids,307.14
Atlanta_United,404.91
Sporting_Kansas_City,416.23
Orlando_City_SC,419.11
Philadelphia_Union,339.82
FC_Dallas,284.11
Real_Salt_Lake,358.64
New_England_Revolution,408.01
Minnesota_United_FC,379.73
San_Jose_Earthquakes,342.58
New_York_Red_Bulls,298.93
D.C._United,377.6
Columbus_Crew_SC,366.02
Vancouver_Whitecaps_FC,271.74
Houston_Dynamo,312.32
FC_Cincinnati,289.85
