Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Finance_insurance_real_estate_rental_and_leasing,62.28
Manufacturing,50.22
Professional_and_business_services,48.66
Educational_services_health_care_and_social_assistance,36.34
Government_and_government_enterprises,30.86
Wholesale_trade,23.71
Retail_trade,19.66
Information,13.97
Construction,11.69
Arts_entertainment_recreation_accommodation_and_food_services,10.58
Transportation_and_warehousing,10.32
Agriculture_forestry_fishing_and_hunting,7.91
Other_services_(except_government_and_government_enterprises),6.73
Utilities,4.72
Mining_quarrying_and_oil_and_gas_extraction,4.07
