business,Effective_tax_rate
ConocoPhillips,65.8
Chevron,41.9
Exxon_Mobil,41.1
CVS_Health,38.9
UnitedHealth_Group,37
Home_Depot,36.2
Walt_Disney,34.6
Comcast,34.3
Phillips_66,32.6
Wal-Mart_Stores,32.3
Goldman_Sachs,31.4
Wells_Fargo,31.2
American_Express,30.4
Berkshire_Hathaway,29.8
Hewlett-Packard,28.5
Boeing,27.7
United_Technologies,27.4
JPMorgan_Chase,27.3
American_International_Group_(AIG),26.9
Dow_Chemical,26.6
Intel,26.6
Honeywell_International,26.2
US_Bancorp,25.9
Apple,25.9
PepsiCo,25.2
Capital_One_Financial,25
MetLife,24.5
Oracle,24
AT&T,23.9
IBM,23.3
Procter_&_Gamble,23.3
Caterpillar,22.6
Coca-Cola,22.3
Merck,22.3
Microsoft,22.3
Johnson_&_Johnson,20.5
Alphabet_(Google),20.2
Pfizer,19
Qualcomm,18.2
Cisco_Systems,17.8
Prudential_Financial,17.4
Twenty-First_Century_Fox_Inc.,16.1
Verizon_Communications,15.8
Amgen,11.2
Bank_of_America,10
Morgan_Stanley,7.9
General_Electric,6.7
Ford_Motor,-34.6
General_Motors,-45.5
Citigroup,-91.7
