Month,Market_share
Dec_20,7.77
Nov_20,8.55
Oct_20,7.68
Sep_20,6.47
Aug_20,6.14
Jul_20,6.54
Jun_20,7.32
May_20,7.27
Apr_20,4.88
Mar_20,6.88
Feb_20,8.36
Jan_20,6.75
Dec_19,9.47
Nov_19,7.43
Oct_19,8.44
Sep_19,8.11
Aug_19,5.24
Jul_19,5.85
Jun_19,8.94
May_19,6.76
Apr_19,6.75
Mar_19,6.62
Feb_19,8.38
Jan_19,5.93
Dec_18,8.05
Nov_18,8.08
Oct_18,7.37
Sep_18,8.25
Aug_18,6.37
Jul_18,6.09
Jun_18,9.78
May_18,6.72
Apr_18,5.41
Mar_18,6.68
Feb_18,8.35
Jan_18,5.5
Dec_17,8.84
Nov_17,7.82
Oct_17,6.99
Sep_17,7.38
Aug_17,6.03
Jul_17,5.61
Jun_17,7.87
May_17,6.83
Apr_17,7.42
Mar_17,6.2
Feb_17,7.36
Jan_17,4.86
Dec_16,8.46
Nov_16,8.33
Oct_16,7.52
Sep_16,6.94
Aug_16,5.82
Jul_16,5.43
Jun_16,7.32
May_16,7.58
Apr_16,5.79
Mar_16,6.26
Feb_16,6.91
Jan_16,4.87
Dec_15,9.54
Nov_15,6.69
Oct_15,7.85
Sep_15,6.42
Aug_15,6.13
Jul_15,5.26
Jun_15,6.69
May_15,6.14
Apr_15,5.86
Mar_15,5.46
Feb_15,6.62
Jan_15,4.86
