bank,Complaints_opened_(H2_2019),Complaints_closed_(H2_2019)
Barclays_Bank_UK_PLC,215.73,217.88
HSBC_UK_Bank_Plc,206.19,206.89
National_Westminster_Bank_Plc,115.32,114.71
Santander_UK_Plc,111.58,112.34
Lloyds_Bank_PLC,109.57,107.79
Bank_of_Scotland_plc,77.41,76.63
Nationwide_Building_Society,45.57,43.83
TSB_Bank_plc,43.33,43.11
Royal_Bank_of_Scotland_Plc_The,34.48,33.83
Capital_One_(Europe)_plc,23.54,23.67
Clydesdale_Bank_Plc,17.15,14.88
Tesco_Personal_Finance_PLC,16.23,16.24
Bank_of_Ireland_(UK)_Plc,15.67,16.24
Marks_&_Spencer_Financial_Services_Plc,15.63,15.51
Vanquis_Bank_Limited,15.16,16.45
