the_latest_polls_for_the_2016_Senate_elections,Republican,Democrat
Arizona_-_McCain_(R)_vs._Kirkpatrick_(D),49.5,39.5
Arkansas_-_Boozman_(R)_vs._Eldridge_(D),48,32
Colorado_-_Glenn_(R)_vs._Bennet_(D),40.8,48.2
Florida_-_Rubio_(R)_vs._Murphy_(D),48.6,45.4
Georgia_-_Isaakson_(R)_vs._Barksdale_(D),50.4,39.4
Illinois_-_Kirk_(R)_vs._Duckworth_(D),34.7,48
Indiana_-_Young_(R)_vs._Bayh_(D),42.7,42
Iowa_-_Grassley_(R)_vs._Judge_(D),56.3,34
Maryland_-_Szeliga_(R)_vs._Van_Hollen_(D),26.3,55.7
Missouri_-_Blunt_(R)_vs._Kander_(D),46.8,45.5
Nevada_-_Heck_(R)_vs._Masto_(D),45.5,47.3
New_Hampshire_-_Ayotte_(R)_vs._Hassan_(D),47.1,45.6
North_Carolina_-_Burr_(R)_vs._Ross_(D),47,45
Ohio_-_Portman_(R)_vs._Strickland_(D),53.8,35.5
Pennsylvania_-_Toomey_(R)_vs._McGinty_(D),43,45
Wisconsin_-_Johnson_(R)_vs._Feingold_(D),44.3,47
