Response,Main_reason,All_reasons
It_is_easier/more_convenient_by_car,46,58
It_is_quicker_by_car,11,34
Other,8,11
I_prefer_to_walk/cycle,7,12
Buses_are_not_frequent_enough/do_not_run_when_I_need_them,6,17
Buses_do_not_go_to/go_directly_to_places_where_I_want_to_go,5,10
Bus_fares_are_too_high,4,13
Journeys_take_too_long_by_bus,3,12
I_have_difficulty_getting_on_and_off_buses,2,4
The_nearest_bus_stop_is_too_far_away,2,7
It_is_cheaper_by_car,2,10
Not_safe_on_the_buses/stops/stations/anti-social_behaviour,1,4
I_have_difficulty_getting_to_the_bus_stop/station,1,4
I_do_not_know_what_bus_services_are_available,1,6
Buses_are_not_reliable_enough,1,4
