Date,E-reader,Tablet_computer,Desktop/laptop_computer
1/13/2008,nan,nan,74%
4/19/2009,2%,nan,nan
9/14/2009,3%,nan,nan
5/30/2010,4%,3%,nan
6/20/2010,nan,nan,78%
9/13/2010,5%,4%,nan
11/24/2010,6%,5%,nan
5/22/2011,12%,8%,nan
8/26/2011,9%,10%,nan
12/21/2011,10%,10%,75%
1/8/2012,18%,20%,nan
1/15/2012,19%,19%,78%
2/19/2012,14%,14%,nan
4/3/2012,18%,18%,nan
8/5/2012,19%,21%,nan
8/7/2012,nan,25%,nan
11/10/2012,19%,24%,77%
12/16/2012,nan,29%,nan
1/6/2013,26%,31%,nan
5/19/2013,24%,34%,nan
9/30/2013,24%,34%,nan
4/12/2015,19%,45%,73%
4/4/2016,17%,48%,74%
11/6/2016,22%,51%,78%
1/10/2018,nan,53%,73%
2/7/2019,nan,52%,74%
