Company,Value_in_billion_U.S._dollars
The_We_Company_New_York_Real_estate_technology_Corporate,6.55
Tenglong_Bejing_Systems_&_information_management_Series_A,3.7
Paytm_Noida_India_Financial_software_Series_G,1.7
Beike_(Real_Estate)_Beijing_Real_estate_technology_Late-stage_VC,1.0
DoorDash_San_Francisco_Restaurant_technology_Series_G,0.7
Bright_Health_Minneapolis_Life_&_health_insurance_Series_D,0.64
Deliveroo_London_Restaurant_technology_Series_G,0.56
Udaan_Bangalore_Business_software_Series_D,0.5
Magic_Leap_Plantation_FL_Virtual_reality_Series_E,0.5
Chime_(Financial_Software)_San_Francisco_Financial_software_Series_E,0.5
