Month,Exchange_rate
Nov_'20,1.08
Oct'_20,1.07
Sep_'20,1.08
Aug_'20,1.08
Jul_'20,1.08
Jun_'20,1.07
May_'20,1.07
Apr_'20,1.06
Mar_'20,1.06
Feb_'20,1.06
Jan_'20,1.07
Dec_'19,1.09
Nov_'19,1.1
Oct_'19,1.1
Sep_'19,1.08
Aug_'19,1.09
Jul_'19,1.1
Jun_'19,1.11
May_'19,1.12
Apr_'19,1.14
Mar_'19,1.12
Feb_'19,1.13
Jan_'19,1.14
Dec_'18,1.13
Nov_'18,1.13
Oct_'18,1.14
Sep_'18,1.13
Aug_'18,1.13
Jul_'18,1.16
Jun_'18,1.16
May_'18,1.15
Apr_'18,1.2
Mar_'18,1.18
Feb_'18,1.15
Jan_'18,1.16
Dec_'17,1.17
Nov_'17,1.17
Oct_'17,1.16
Sep_'17,1.15
Aug_'17,1.14
Jul_'17,1.14
Jun_'17,1.09
May_'17,1.09
Apr_'17,1.08
Mar_'17,1.07
Feb_'17,1.06
Jan_'17,1.07
Dec_'16,1.08
Nov_'16,1.08
Oct_'16,1.09
Sep_'16,1.09
Aug_'16,1.1
Jul_'16,1.08
Jun_'16,1.09
May_'16,1.1
Apr_'16,1.1
Mar_'16,1.09
Feb_'16,1.09
Jan_'16,1.11
Dec_'15,1.08
Nov_'15,1.09
Oct_'15,1.09
Sep_'15,1.09
Aug_'15,1.08
Jul_'15,1.06
Jun_'15,1.04
May_'15,1.03
Apr_'15,1.05
Mar_'15,1.05
Feb_'15,1.06
Jan_'15,1.05
Dec_'14,1.2
Nov_'14,1.2
Oct_'14,1.21
Sep_'14,1.21
Aug_'14,1.21
Jul_'14,1.22
Jun_'14,1.22
May_'14,1.22
Apr_'14,1.22
Mar_'14,1.22
Feb_'14,1.22
Jan_'14,1.22
